time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.07879164,0.240623,-0.05757018,-0.07879164,0.240623,-0.05757018,-0.03914516,0.2319831,-0.03781829,-0.01791241,0.230063,-0.02367681,0,0,0,-0.1798888,0.4035125,-0.2414679
0.04,-0.07860008,0.2443078,-0.05578636,-0.07860008,0.2443078,-0.05578636,-0.03909251,0.2353786,-0.03581804,-0.01798571,0.2334492,-0.02148479,-0.08601969,0.2263437,0.08561392,-0.1799994,0.4077737,-0.239166
1.04,-0.07572797,0.2531027,-0.04084653,-0.07572797,0.2531027,-0.04084653,-0.03400683,0.2460402,-0.02108123,-0.01245943,0.2459753,-0.005393244,-0.08489423,0.229765,0.08734674,-0.1889117,0.4075383,-0.2306837
1.466589,-0.07491679,0.2529511,-0.0404222,-0.07491679,0.2529511,-0.0404222,-0.03319094,0.2458073,-0.02071261,-0.01166046,0.2457473,-0.00504775,-0.08219934,0.2341748,0.1046988,-0.1884548,0.4075545,-0.2304163
1.622128,-0.07520647,0.2530006,-0.04048494,-0.07520647,0.2530006,-0.04048494,-0.03357198,0.2458449,-0.02086531,-0.01204244,0.2457723,-0.005261808,-0.08103153,0.2346615,0.1052465,-0.1891641,0.407769,-0.2303673
1.676068,-0.07539652,0.2530189,-0.04057625,-0.07539652,0.2530189,-0.04057625,-0.03376259,0.2458626,-0.02095556,-0.0122258,0.2457861,-0.005355807,-0.08102025,0.2347493,0.1054056,-0.1894526,0.4078379,-0.2304143
1.714091,-0.0755067,0.2529448,-0.04065685,-0.0755067,0.2529448,-0.04065685,-0.03387186,0.2457824,-0.02104216,-0.01234046,0.2457009,-0.005443188,-0.08120211,0.2348085,0.1053411,-0.1896118,0.4078087,-0.2304567
1.743402,-0.07546628,0.2528854,-0.04071671,-0.07546628,0.2528854,-0.04071671,-0.0338256,0.2457058,-0.02110283,-0.01230591,0.2456039,-0.005498215,-0.08134758,0.2347352,0.1052654,-0.1896079,0.407775,-0.2304999
1.767884,-0.0754094,0.2529071,-0.04075338,-0.0754094,0.2529071,-0.04075338,-0.03376431,0.2457028,-0.02113663,-0.01224825,0.2455839,-0.005529068,-0.08133955,0.234692,0.1051949,-0.1895595,0.4078066,-0.2305496
1.79363,-0.07532484,0.2529887,-0.04077571,-0.07532484,0.2529887,-0.04077571,-0.03366933,0.2457536,-0.02115606,-0.01215627,0.2456246,-0.005549144,-0.0812972,0.2347538,0.105168,-0.1894941,0.4079444,-0.2305863
1.83262,-0.0752182,0.2529985,-0.0407657,-0.0752182,0.2529985,-0.0407657,-0.03356704,0.2457448,-0.02114464,-0.01205626,0.2456107,-0.005540859,-0.08134314,0.2349385,0.1051534,-0.1894007,0.4079858,-0.2305956
1.856152,-0.07515433,0.2529896,-0.04075912,-0.07515433,0.2529896,-0.04075912,-0.03350507,0.2457325,-0.02112864,-0.01199455,0.2455996,-0.005523373,-0.08122986,0.2350246,0.10517,-0.1893449,0.4080024,-0.2305923
1.88248,-0.07501479,0.2529846,-0.04072358,-0.07501479,0.2529846,-0.04072358,-0.03336336,0.2457239,-0.02108692,-0.01185373,0.2455951,-0.005479445,-0.08109387,0.2350569,0.1051829,-0.1892162,0.4080245,-0.2305769
1.910364,-0.0748019,0.2530416,-0.04064784,-0.0748019,0.2530416,-0.04064784,-0.03313639,0.245782,-0.02100773,-0.01160992,0.2456552,-0.00540455,-0.08086722,0.235127,0.1052207,-0.1890154,0.4081424,-0.2305313
1.943226,-0.07463314,0.2531537,-0.04058224,-0.07463314,0.2531537,-0.04058224,-0.03296922,0.2458546,-0.02097894,-0.01143616,0.2457002,-0.005398176,-0.08059261,0.2352466,0.1053149,-0.1889349,0.4082724,-0.230469
1.980233,-0.07459485,0.253327,-0.0404318,-0.07459485,0.253327,-0.0404318,-0.03293432,0.2460345,-0.02088709,-0.01138738,0.2458997,-0.005325628,-0.08039197,0.2353508,0.1054367,-0.1889404,0.4085177,-0.2303527
2.012829,-0.07464321,0.2534258,-0.0403521,-0.07464321,0.2534258,-0.0403521,-0.03299288,0.2461455,-0.02084617,-0.01144448,0.2460325,-0.005297365,-0.08031362,0.2356332,0.1057144,-0.1890035,0.4086601,-0.2303009
2.040958,-0.07471803,0.2535059,-0.04025991,-0.07471803,0.2535059,-0.04025991,-0.03307744,0.2462422,-0.02079786,-0.01152543,0.2461408,-0.005268412,-0.0803171,0.2357214,0.1058277,-0.1891032,0.4087874,-0.2302402
2.084308,-0.07484135,0.2535625,-0.04021204,-0.07484135,0.2535625,-0.04021204,-0.03321565,0.2463121,-0.02077665,-0.01166159,0.246203,-0.005258793,-0.08032899,0.2357518,0.105947,-0.1892755,0.4088866,-0.2301901
2.118361,-0.0749165,0.2535504,-0.04022327,-0.0749165,0.2535504,-0.04022327,-0.03330802,0.2463043,-0.02078716,-0.01175754,0.246193,-0.005272702,-0.08046549,0.2358029,0.1060543,-0.1894414,0.4089607,-0.2301681
2.155479,-0.07494076,0.2535056,-0.04027212,-0.07494076,0.2535056,-0.04027212,-0.03335911,0.2462165,-0.02086175,-0.01182671,0.246073,-0.005356427,-0.08055118,0.2358122,0.1060439,-0.1896001,0.4089376,-0.2302314
2.193393,-0.07489056,0.2534679,-0.04029118,-0.07489056,0.2534679,-0.04029118,-0.03330517,0.2461365,-0.02088646,-0.01177422,0.2459595,-0.005379826,-0.08057947,0.2358065,0.1059892,-0.1896418,0.4089155,-0.2302497
2.228327,-0.07482446,0.2534026,-0.04038681,-0.07482446,0.2534026,-0.04038681,-0.03323138,0.2460067,-0.0210006,-0.0117136,0.2458114,-0.005483049,-0.08055912,0.2357586,0.1059442,-0.1896717,0.4088602,-0.2303521
2.255611,-0.07473432,0.2533137,-0.04048585,-0.07473432,0.2533137,-0.04048585,-0.03313596,0.2459287,-0.02112539,-0.01163019,0.245745,-0.005605786,-0.08056461,0.2357463,0.1058352,-0.1897355,0.408755,-0.2304462
2.306443,-0.07468282,0.2532715,-0.04055778,-0.07468282,0.2532715,-0.04055778,-0.03307635,0.2458653,-0.02122309,-0.01157475,0.2456771,-0.005707021,-0.08044719,0.2356813,0.1057298,-0.1897511,0.408724,-0.2305234
2.333113,-0.07469629,0.2532637,-0.04057939,-0.07469629,0.2532637,-0.04057939,-0.03307856,0.2458558,-0.02125947,-0.01156736,0.2456755,-0.005749602,-0.08038822,0.2356399,0.1056628,-0.1897704,0.4087391,-0.230554
2.356301,-0.07477392,0.2533058,-0.04062058,-0.07477392,0.2533058,-0.04062058,-0.03313768,0.2458603,-0.02133043,-0.01161027,0.2456614,-0.005825361,-0.08041757,0.2356403,0.1056514,-0.1898596,0.4088188,-0.2306006
2.387517,-0.07489216,0.2531916,-0.04060643,-0.07489216,0.2531916,-0.04060643,-0.03324738,0.2457231,-0.02134581,-0.01171611,0.2455306,-0.005839341,-0.08058036,0.2357592,0.1056499,-0.18998,0.4087085,-0.2305924
2.411046,-0.07498401,0.2530793,-0.04061199,-0.07498401,0.2530793,-0.04061199,-0.03332034,0.2456078,-0.02135389,-0.01177499,0.2454232,-0.005842675,-0.08073813,0.2357325,0.1057034,-0.1900929,0.4086179,-0.2305814
2.433952,-0.07515025,0.2529811,-0.04062626,-0.07515025,0.2529811,-0.04062626,-0.03347281,0.2455035,-0.02136678,-0.01191864,0.2453229,-0.005849567,-0.08085335,0.2356515,0.1057201,-0.1902763,0.4085409,-0.2305844
2.455459,-0.07535547,0.2529536,-0.04067919,-0.07535547,0.2529536,-0.04067919,-0.03366549,0.2454645,-0.02141653,-0.01211034,0.2452819,-0.005887941,-0.08103374,0.2355539,0.1057234,-0.1904896,0.4085097,-0.2306471
2.481662,-0.07553147,0.2529247,-0.04074978,-0.07553147,0.2529247,-0.04074978,-0.0338309,0.2454333,-0.0214786,-0.01228173,0.2452552,-0.005935383,-0.08125486,0.2355225,0.1056864,-0.1906725,0.4084865,-0.2307341
2.504883,-0.07564427,0.2528734,-0.04085832,-0.07564427,0.2528734,-0.04085832,-0.03393681,0.2453448,-0.02158859,-0.01240735,0.2451466,-0.006030636,-0.08145621,0.2354719,0.1056104,-0.1907929,0.4084142,-0.2308532
2.533304,-0.07555562,0.2528072,-0.0409298,-0.07555562,0.2528072,-0.0409298,-0.03386773,0.2452222,-0.02165284,-0.01237085,0.2449658,-0.006095302,-0.08166115,0.2353308,0.1054701,-0.1907063,0.4083233,-0.2309141
2.559565,-0.07540675,0.2527531,-0.04099959,-0.07540675,0.2527531,-0.04099959,-0.0337206,0.2451399,-0.02169664,-0.0122309,0.2448798,-0.00613156,-0.08155797,0.2351993,0.1053104,-0.1905612,0.4082536,-0.230975
2.586174,-0.07530624,0.252799,-0.04105306,-0.07530624,0.252799,-0.04105306,-0.03361559,0.2451632,-0.02172286,-0.01212545,0.2448844,-0.006154507,-0.08138952,0.235132,0.1051926,-0.1904604,0.408324,-0.2310347
2.606632,-0.07513712,0.2528319,-0.04110527,-0.07513712,0.2528319,-0.04110527,-0.03344604,0.2451891,-0.02173914,-0.01195485,0.2449018,-0.006167821,-0.08126748,0.2351378,0.1051111,-0.1902962,0.4083774,-0.231099
2.636034,-0.07494036,0.252972,-0.04113464,-0.07494036,0.252972,-0.04113464,-0.03325365,0.2453308,-0.02174159,-0.01176214,0.2450374,-0.006174003,-0.08106964,0.2351853,0.1050615,-0.1900876,0.4086202,-0.2311083
2.661167,-0.07473491,0.2531086,-0.04110359,-0.07473491,0.2531086,-0.04110359,-0.03305905,0.2454603,-0.02169456,-0.01155603,0.2451605,-0.006136631,-0.0808528,0.2353391,0.1050399,-0.1898823,0.4088383,-0.231085
2.689173,-0.07464843,0.2532719,-0.04108684,-0.07464843,0.2532719,-0.04108684,-0.0329436,0.2456315,-0.02168891,-0.01141878,0.2453478,-0.006139478,-0.0805996,0.2355436,0.1051364,-0.1897863,0.4091253,-0.2310346
2.713548,-0.07464719,0.253408,-0.04108746,-0.07464719,0.253408,-0.04108746,-0.03292972,0.2457659,-0.02171116,-0.01138691,0.2454944,-0.006167766,-0.08042645,0.235739,0.1051828,-0.1897967,0.40932,-0.2310404
2.733993,-0.07469412,0.2534532,-0.04107926,-0.07469412,0.2534532,-0.04107926,-0.03297453,0.2458085,-0.02171173,-0.01142335,0.2455452,-0.006167304,-0.08040132,0.2359686,0.1052442,-0.1898531,0.4093902,-0.2310463
