time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.08959021,0.231074,-0.05114086,-0.06053451,0.2205023,0.006610093,-0.05189862,0.2177004,0.03692226,-0.04541194,0.2175254,0.05705961,0,0,0,-0.1798888,0.4035125,-0.2414679
0.04,-0.08942242,0.2348597,-0.04934177,-0.06018016,0.223858,0.008243197,-0.05155708,0.2208398,0.03849034,-0.04504035,0.2205749,0.05857782,-0.08601969,0.2263437,0.08561392,-0.1799994,0.4077737,-0.239166
1.04,-0.08596012,0.242565,-0.0348556,-0.05513126,0.2319078,0.02319877,-0.04607156,0.2293102,0.05462869,-0.03953508,0.2298072,0.07552917,-0.08489423,0.229765,0.08734674,-0.1889117,0.4075383,-0.2306837
1.466589,-0.08515716,0.2424698,-0.03438175,-0.05434136,0.2320021,0.02379097,-0.04531916,0.2295564,0.0553028,-0.03880652,0.2301127,0.07625066,-0.08219934,0.2341748,0.1046988,-0.1884548,0.4075545,-0.2304163
1.622128,-0.08546499,0.2425134,-0.03446512,-0.05458234,0.2318767,0.02369358,-0.04547674,0.2293543,0.05523332,-0.03890861,0.2298536,0.07618734,-0.08103153,0.2346615,0.1052465,-0.1891641,0.407769,-0.2303673
1.676068,-0.08565787,0.2425275,-0.03455796,-0.05475927,0.231861,0.02359687,-0.04564103,0.2293406,0.05513985,-0.03906895,0.229846,0.07609275,-0.08102025,0.2347493,0.1054056,-0.1894526,0.4078379,-0.2304143
1.714091,-0.08576452,0.2424456,-0.03463929,-0.05485997,0.2317837,0.02351889,-0.045738,0.2292966,0.05507108,-0.03916845,0.2298365,0.07603189,-0.08120211,0.2348085,0.1053411,-0.1896118,0.4078087,-0.2304567
1.743402,-0.08571476,0.2423777,-0.03469167,-0.05482583,0.2317765,0.02349043,-0.04572251,0.2293217,0.05505065,-0.03917178,0.2298869,0.07602222,-0.08134758,0.2347352,0.1052654,-0.1896079,0.407775,-0.2304999
1.767884,-0.08565312,0.2424001,-0.03471823,-0.05476893,0.2318409,0.02347817,-0.04567631,0.2294101,0.05504035,-0.03913302,0.2299978,0.0760157,-0.08133955,0.234692,0.1051949,-0.1895595,0.4078066,-0.2305496
1.79363,-0.08557095,0.242493,-0.03472706,-0.05469183,0.231971,0.02348858,-0.04561266,0.2295745,0.05504408,-0.03907236,0.2302028,0.07601224,-0.0812972,0.2347538,0.105168,-0.1894941,0.4079444,-0.2305863
1.83262,-0.08546768,0.2425088,-0.03470759,-0.05458318,0.23201,0.0235188,-0.045514,0.2296268,0.05507373,-0.03897647,0.2302648,0.07603715,-0.08134314,0.2349385,0.1051534,-0.1894007,0.4079858,-0.2305956
1.856152,-0.08540787,0.242502,-0.03469767,-0.05451868,0.2319944,0.0235299,-0.04545233,0.2296302,0.05508894,-0.03891343,0.2302965,0.07605121,-0.08122986,0.2350246,0.10517,-0.1893449,0.4080024,-0.2305923
1.88248,-0.08527325,0.2425023,-0.03465736,-0.05437863,0.2319956,0.02357586,-0.04531632,0.2296757,0.05514294,-0.03877778,0.2303802,0.07610415,-0.08109387,0.2350569,0.1051829,-0.1892162,0.4080245,-0.2305769
1.910364,-0.08507375,0.2425731,-0.03457475,-0.05416566,0.2320418,0.02366139,-0.04510346,0.2297451,0.05522926,-0.03856102,0.2304531,0.0761808,-0.08086722,0.235127,0.1052207,-0.1890154,0.4081424,-0.2305313
1.943226,-0.0849103,0.2426923,-0.0345046,-0.05397984,0.2321491,0.02373104,-0.04492424,0.2298438,0.05530507,-0.03837835,0.2305426,0.07625788,-0.08059261,0.2352466,0.1053149,-0.1889349,0.4082724,-0.230469
1.980233,-0.08489173,0.2428816,-0.03435857,-0.0539378,0.2322782,0.02387453,-0.0448713,0.2298807,0.05544883,-0.03830515,0.2305045,0.07639685,-0.08039197,0.2353508,0.1054367,-0.1889404,0.4085177,-0.2303527
2.012829,-0.08495174,0.242988,-0.03428544,-0.05399165,0.2323422,0.02394986,-0.04491387,0.2299237,0.05552876,-0.0383375,0.2305324,0.07647533,-0.08031362,0.2356332,0.1057144,-0.1890035,0.4086601,-0.2303009
2.040958,-0.08503641,0.2430687,-0.03420369,-0.05406426,0.232371,0.02403077,-0.04497615,0.2299442,0.05561705,-0.03839149,0.2305569,0.07656372,-0.0803171,0.2357214,0.1058277,-0.1891032,0.4087874,-0.2302402
2.084308,-0.08515958,0.2431171,-0.03416391,-0.05418194,0.2324105,0.02408344,-0.04508567,0.2299467,0.05567217,-0.03850086,0.2305218,0.07662132,-0.08032899,0.2357518,0.105947,-0.1892755,0.4088866,-0.2301901
2.118361,-0.08523418,0.2431082,-0.03417555,-0.05426233,0.2324233,0.02409285,-0.04516666,0.2299571,0.05568048,-0.03858425,0.2305273,0.07662909,-0.08046549,0.2358029,0.1060543,-0.1894414,0.4089607,-0.2301681
2.155479,-0.08525635,0.2430669,-0.03422431,-0.0543103,0.2324391,0.02408487,-0.045214,0.2299684,0.05566719,-0.03863115,0.2305324,0.07661604,-0.08055118,0.2358122,0.1060439,-0.1896001,0.4089376,-0.2302314
2.193393,-0.08520772,0.243034,-0.03424107,-0.05428158,0.2324339,0.0240926,-0.04519177,0.2299729,0.05566429,-0.03860975,0.2305471,0.07660861,-0.08057947,0.2358065,0.1059892,-0.1896418,0.4089155,-0.2302497
2.228327,-0.08513944,0.2429707,-0.03433139,-0.05422469,0.2324118,0.02402584,-0.04514267,0.229987,0.0556011,-0.0385684,0.23058,0.07654675,-0.08055912,0.2357586,0.1059442,-0.1896717,0.4088602,-0.2303521
2.255611,-0.08504722,0.2428812,-0.03442571,-0.0541455,0.2323645,0.02395682,-0.04507033,0.2299519,0.0555307,-0.03850031,0.2305481,0.07647721,-0.08056461,0.2357463,0.1058352,-0.1897355,0.408755,-0.2304462
2.306443,-0.08499833,0.242842,-0.03449327,-0.05409746,0.2323413,0.02390144,-0.0450226,0.2299348,0.05547282,-0.03845021,0.2305404,0.07641594,-0.08044719,0.2356813,0.1057298,-0.1897511,0.408724,-0.2305234
2.333113,-0.08501726,0.2428402,-0.03451104,-0.05411172,0.2323385,0.02388586,-0.04503179,0.2299279,0.05545418,-0.03845517,0.2305336,0.07639533,-0.08038822,0.2356399,0.1056628,-0.1897704,0.4087391,-0.230554
2.356301,-0.08510172,0.2428846,-0.03455406,-0.0541789,0.2323489,0.02383314,-0.04509617,0.2299018,0.05539256,-0.03852239,0.2304762,0.0763234,-0.08041757,0.2356403,0.1056514,-0.1898596,0.4088188,-0.2306006
2.387517,-0.08522478,0.2427733,-0.03453891,-0.05429006,0.2322398,0.02384705,-0.04518394,0.2297958,0.05541077,-0.03859707,0.2303666,0.0763402,-0.08058036,0.2357592,0.1056499,-0.18998,0.4087085,-0.2305924
2.411046,-0.08531841,0.2426597,-0.03454259,-0.05437549,0.232146,0.02384532,-0.04525734,0.2296976,0.05541243,-0.03867057,0.2302596,0.07634301,-0.08073813,0.2357325,0.1057034,-0.1900929,0.4086179,-0.2305814
2.433952,-0.08548683,0.2425595,-0.03455679,-0.05453567,0.232052,0.02383099,-0.04539976,0.2295933,0.05539893,-0.03880719,0.2301411,0.07632881,-0.08085335,0.2356515,0.1057201,-0.1902763,0.4085409,-0.2305844
2.455459,-0.08568976,0.2425244,-0.03461159,-0.05473905,0.2320334,0.02378238,-0.04558172,0.2295597,0.05535167,-0.03898263,0.2300936,0.07628144,-0.08103374,0.2355539,0.1057234,-0.1904896,0.4085097,-0.2306471
2.481662,-0.08586439,0.2424916,-0.03468545,-0.05492323,0.2320053,0.02371836,-0.04574696,0.2295398,0.05529224,-0.03914181,0.2300753,0.07622387,-0.08125486,0.2355225,0.1056864,-0.1906725,0.4084865,-0.2307341
2.504883,-0.08596738,0.2424222,-0.03480217,-0.05504675,0.2319449,0.02361497,-0.0458662,0.229538,0.05520051,-0.03926322,0.2301355,0.0761412,-0.08145621,0.2354719,0.1056104,-0.1907929,0.4084142,-0.2308532
2.533304,-0.0858677,0.242347,-0.03485807,-0.05495156,0.231925,0.023567,-0.04580737,0.2296018,0.05515073,-0.03922802,0.2302962,0.07609633,-0.08166115,0.2353308,0.1054701,-0.1907063,0.4083233,-0.2309141
2.559565,-0.08571169,0.2422951,-0.03490836,-0.05478199,0.2319243,0.02351704,-0.04567039,0.2296664,0.05510089,-0.03911211,0.2304219,0.0760458,-0.08155797,0.2351993,0.1053104,-0.1905612,0.4082536,-0.230975
2.586174,-0.08561009,0.2423415,-0.03495317,-0.05468023,0.2319831,0.02347726,-0.0455872,0.2297568,0.05506395,-0.03903747,0.2305283,0.07601216,-0.08138952,0.235132,0.1051926,-0.1904604,0.408324,-0.2310347
2.606632,-0.08544111,0.2423822,-0.03499309,-0.05450862,0.2320503,0.02344537,-0.04543304,0.2298476,0.05503423,-0.03889297,0.2306271,0.07598342,-0.08126748,0.2351378,0.1051111,-0.1902962,0.4083774,-0.231099
2.636034,-0.08525047,0.2425302,-0.03501466,-0.05430984,0.2321925,0.02342626,-0.04524719,0.2300087,0.05501531,-0.03871076,0.2307987,0.07596153,-0.08106964,0.2351853,0.1050615,-0.1900876,0.4086202,-0.2311083
2.661167,-0.08505929,0.2426808,-0.03497307,-0.05408668,0.2322971,0.02345658,-0.04504499,0.2301425,0.05504984,-0.0385179,0.2309458,0.07599247,-0.0808528,0.2353391,0.1050399,-0.1898823,0.4088383,-0.231085
2.689173,-0.08498879,0.2428602,-0.03495093,-0.05395545,0.2324051,0.02344765,-0.04492018,0.2302447,0.05504788,-0.03839101,0.231036,0.07598235,-0.0805996,0.2355436,0.1051364,-0.1897863,0.4091253,-0.2310346
2.713548,-0.0850012,0.2430086,-0.03495406,-0.05392631,0.232491,0.02342323,-0.04487568,0.2303215,0.05503366,-0.03832782,0.2310926,0.07596189,-0.08042645,0.235739,0.1051828,-0.1897967,0.40932,-0.2310404
2.733993,-0.08505399,0.2430588,-0.03495029,-0.05397111,0.2325177,0.02342592,-0.04490518,0.2303464,0.05504611,-0.03834242,0.2311037,0.07597761,-0.08040132,0.2359686,0.1052442,-0.1898531,0.4093902,-0.2310463
2.754681,-0.08511257,0.2430877,-0.03493156,-0.05401364,0.2325371,0.02344311,-0.04493381,0.2303476,0.05507563,-0.03836875,0.2310562,0.07601064,-0.08042157,0.2360075,0.105282,-0.1899294,0.4094373,-0.2310401
