time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.09592804,0.2331973,-0.04516308,-0.07503378,0.2272354,0.01303512,-0.06949066,0.2216718,0.04895173,-0.06364988,0.2205141,0.07418055,0,0,0,-0.1798888,0.4035125,-0.2414679
0.04,-0.09574032,0.2370404,-0.0433585,-0.07461879,0.2307167,0.01472715,-0.06889138,0.2249567,0.05055897,-0.06296607,0.2236106,0.07575095,-0.08601969,0.2263437,0.08561392,-0.1799994,0.4077737,-0.239166
1.04,-0.09236719,0.2440824,-0.02860248,-0.07015253,0.2374649,0.03013925,-0.06464642,0.2321365,0.06702785,-0.05940033,0.2310808,0.09299865,-0.08489423,0.229765,0.08734674,-0.1889117,0.4075383,-0.2306837
1.466589,-0.09157531,0.24401,-0.0281344,-0.06937338,0.237609,0.03070453,-0.0638375,0.232242,0.06757414,-0.05854595,0.2311137,0.09352256,-0.08219934,0.2341748,0.1046988,-0.1884548,0.4075545,-0.2304163
1.622128,-0.09186795,0.2440479,-0.02819889,-0.0696012,0.2374858,0.03064413,-0.06408254,0.2322391,0.06762638,-0.05883476,0.2311644,0.0936657,-0.08103153,0.2346615,0.1052465,-0.1891641,0.407769,-0.2303673
1.676068,-0.09205774,0.2440622,-0.02828959,-0.06977543,0.2374718,0.03055331,-0.06425198,0.2322614,0.06755543,-0.05900687,0.2312084,0.09359997,-0.08102025,0.2347493,0.1054056,-0.1894526,0.4078379,-0.2304143
1.714091,-0.09216512,0.2439782,-0.0283707,-0.06987914,0.2373892,0.030476,-0.06434716,0.2322211,0.06749564,-0.0590986,0.2311943,0.09354488,-0.08120211,0.2348085,0.1053411,-0.1896118,0.4078087,-0.2304567
1.743402,-0.09211816,0.2439074,-0.02842995,-0.0698522,0.237372,0.03043436,-0.06431322,0.2321854,0.06744478,-0.05905924,0.2311368,0.09348226,-0.08134758,0.2347352,0.1052654,-0.1896079,0.407775,-0.2304999
1.767884,-0.09205761,0.2439326,-0.02846049,-0.06979747,0.237439,0.0304143,-0.06424697,0.232242,0.06741653,-0.05898703,0.2311802,0.09344327,-0.08133955,0.234692,0.1051949,-0.1895595,0.4078066,-0.2305496
1.79363,-0.09197504,0.2440345,-0.02847274,-0.06971825,0.2375852,0.03041694,-0.0641519,0.2323931,0.06740154,-0.05887693,0.2313329,0.0934021,-0.0812972,0.2347538,0.105168,-0.1894941,0.4079444,-0.2305863
1.83262,-0.09187093,0.244056,-0.02845236,-0.06960836,0.2376337,0.03044644,-0.06405085,0.232482,0.06743231,-0.05878238,0.2314655,0.09343084,-0.08134314,0.2349385,0.1051534,-0.1894007,0.4079858,-0.2305956
1.856152,-0.09180979,0.2440537,-0.02844146,-0.06954145,0.2376264,0.03045928,-0.06398275,0.2324782,0.06744283,-0.05871429,0.2314652,0.0934379,-0.08122986,0.2350246,0.10517,-0.1893449,0.4080024,-0.2305923
1.88248,-0.09167436,0.2440564,-0.02839994,-0.06939994,0.2376338,0.03050645,-0.06382833,0.2324913,0.06748071,-0.05855063,0.2314835,0.09347045,-0.08109387,0.2350569,0.1051829,-0.1892162,0.4080245,-0.2305769
1.910364,-0.09147263,0.2441378,-0.02831435,-0.06918098,0.2377024,0.03059706,-0.06361683,0.2325354,0.06755782,-0.05834289,0.2315118,0.09353605,-0.08086722,0.235127,0.1052207,-0.1890154,0.4081424,-0.2305313
1.943226,-0.09130736,0.2442569,-0.02824057,-0.06899307,0.2378137,0.03067341,-0.0634449,0.2326085,0.06763157,-0.05817365,0.2315633,0.0936154,-0.08059261,0.2352466,0.1053149,-0.1889349,0.4082724,-0.230469
1.980233,-0.09128668,0.2444532,-0.02808507,-0.06894547,0.2379622,0.03083199,-0.06344201,0.2327611,0.06781524,-0.05819951,0.2317228,0.09383379,-0.08039197,0.2353508,0.1054367,-0.1889404,0.4085177,-0.2303527
2.012829,-0.09134518,0.2445596,-0.02800645,-0.0689968,0.2380317,0.03091555,-0.06354015,0.2328663,0.06793299,-0.05833771,0.2318698,0.0939844,-0.08031362,0.2356332,0.1057144,-0.1890035,0.4086601,-0.2303009
2.040958,-0.09142739,0.2446339,-0.02791724,-0.06906804,0.2380554,0.0310084,-0.06364557,0.2329396,0.06805766,-0.05847036,0.2319908,0.09413444,-0.0803171,0.2357214,0.1058277,-0.1891032,0.4087874,-0.2302402
2.084308,-0.09155161,0.2446719,-0.02787515,-0.06919232,0.2380778,0.03106428,-0.06379129,0.2329776,0.06813697,-0.05862574,0.2320278,0.09423032,-0.08032899,0.2357518,0.105947,-0.1892755,0.4088866,-0.2301901
2.118361,-0.09162758,0.2446586,-0.02788855,-0.06927729,0.238084,0.03106891,-0.06389198,0.2329987,0.06814259,-0.05873667,0.2320546,0.09423448,-0.08046549,0.2358029,0.1060543,-0.1894414,0.4089607,-0.2301681
2.155479,-0.09165384,0.2446143,-0.0279429,-0.06933443,0.2380924,0.03104689,-0.06396526,0.2330036,0.06810797,-0.05882579,0.2320599,0.09419541,-0.08055118,0.2358122,0.1060439,-0.1896001,0.4089376,-0.2302314
2.193393,-0.09160865,0.244583,-0.02796401,-0.06931026,0.23809,0.0310448,-0.06392198,0.2329723,0.06808187,-0.0587602,0.2320099,0.09414539,-0.08057947,0.2358065,0.1059892,-0.1896418,0.4089155,-0.2302497
2.228327,-0.09154215,0.2445204,-0.02805934,-0.06925739,0.2380676,0.03096798,-0.06385175,0.2329181,0.06798019,-0.05867394,0.2319325,0.09402641,-0.08055912,0.2357586,0.1059442,-0.1896717,0.4088602,-0.2303521
