time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.1076428,0.2511961,-0.04117552,-0.103867,0.2521586,0.01030775,-0.1069911,0.2499907,0.03485338,-0.1076458,0.2492401,0.05381937,-0.08601969,0.2263437,0.08561392,-0.1798888,0.4035125,-0.2414679
0.04,-0.1072851,0.255083,-0.03926531,-0.1032563,0.2558506,0.01220814,-0.1070986,0.2529403,0.03677339,-0.1085155,0.2512425,0.05595993,-0.08489423,0.229765,0.08734674,-0.1799994,0.4077737,-0.239166
1.04,-0.1053589,0.260986,-0.02382971,-0.101084,0.260344,0.02847652,-0.1059053,0.2542069,0.05310166,-0.1085945,0.2493803,0.07237432,-0.08219934,0.2341748,0.1046988,-0.1889117,0.4075383,-0.2306837
1.466589,-0.104543,0.260994,-0.02347002,-0.100283,0.2605853,0.02889287,-0.1051549,0.2544674,0.0534815,-0.1079016,0.2496413,0.0727357,-0.08103153,0.2346615,0.1052465,-0.1884548,0.4075545,-0.2304163
1.622128,-0.104804,0.2610187,-0.02348736,-0.1004927,0.2604825,0.02890612,-0.1053585,0.2542015,0.05348107,-0.1081021,0.2492443,0.0727364,-0.08102025,0.2347493,0.1054056,-0.1891641,0.407769,-0.2303673
1.676068,-0.1049916,0.2610334,-0.0235696,-0.1006677,0.2604749,0.02882956,-0.1055408,0.2542206,0.05341014,-0.1082902,0.2493041,0.07266772,-0.08120211,0.2348085,0.1053411,-0.1894526,0.4078379,-0.2304143
1.714091,-0.1051114,0.2609468,-0.0236472,-0.1007876,0.2603836,0.02875581,-0.105647,0.2541568,0.05335338,-0.1083839,0.2492713,0.07261363,-0.08134758,0.2347352,0.1052654,-0.1896118,0.4078087,-0.2304567
1.743402,-0.1050922,0.2608736,-0.02372349,-0.1007918,0.2603449,0.02868493,-0.1056388,0.2542143,0.05329812,-0.1083621,0.249444,0.07256488,-0.08133955,0.234692,0.1051949,-0.1896079,0.407775,-0.2304999
1.767884,-0.1050396,0.2609036,-0.02377191,-0.1007459,0.2604104,0.02864025,-0.1055926,0.2543659,0.05326315,-0.1083199,0.2496662,0.07253417,-0.0812972,0.2347538,0.105168,-0.1895595,0.4078066,-0.2305496
1.79363,-0.1049532,0.2610264,-0.02380555,-0.1006608,0.260584,0.02861397,-0.105501,0.2546143,0.05323955,-0.1082276,0.2499495,0.07251196,-0.08134314,0.2349385,0.1051534,-0.1894941,0.4079444,-0.2305863
1.83262,-0.1048439,0.2610567,-0.02379517,-0.1005464,0.2606446,0.02863066,-0.1053835,0.2546765,0.05325609,-0.1081063,0.2500065,0.07252985,-0.08122986,0.2350246,0.10517,-0.1894007,0.4079858,-0.2305956
1.856152,-0.1047745,0.2610597,-0.02378564,-0.1004709,0.2606494,0.02864333,-0.1053218,0.2546708,0.05326635,-0.1080589,0.249988,0.07253949,-0.08109387,0.2350569,0.1051829,-0.1893449,0.4080024,-0.2305923
1.88248,-0.1046307,0.2610696,-0.02374772,-0.1003213,0.26067,0.02868663,-0.1051808,0.2546564,0.05329919,-0.10792,0.2499286,0.07256844,-0.08086722,0.235127,0.1052207,-0.1892162,0.4080245,-0.2305769
1.910364,-0.1043994,0.261168,-0.02366366,-0.1000709,0.2607774,0.02877921,-0.1049474,0.2547256,0.05337818,-0.1076906,0.2499656,0.07264462,-0.08059261,0.2352466,0.1053149,-0.1890154,0.4081424,-0.2305313
1.943226,-0.1042198,0.2612907,-0.02358612,-0.0998719,0.2609,0.02886446,-0.1047792,0.2547905,0.05345668,-0.1075487,0.2499774,0.07272711,-0.08039197,0.2353508,0.1054367,-0.1889349,0.4082724,-0.230469
1.980233,-0.1041586,0.2614961,-0.02341487,-0.09978387,0.2610849,0.02904771,-0.1047218,0.2549047,0.05364174,-0.1074978,0.2500342,0.07292588,-0.08031362,0.2356332,0.1057144,-0.1889404,0.4085177,-0.2303527
