time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.08601969,0.2263437,0.08561392,-0.09154059,-0.08601969,0.2263437,-0.09048237,0.2300761,-0.08601969,-0.08861099,0.2268518,0.06886586,-0.08601969,0.2263437,0.08561392,-0.1798888,0.4035125,-0.2414679
0.04,-0.08489423,0.229765,0.08734674,-0.09102467,-0.08489423,0.229765,-0.08971478,0.2336975,-0.08489423,-0.08764666,0.2304208,0.07065704,-0.08489423,0.229765,0.08734674,-0.1799994,0.4077737,-0.239166
1.04,-0.08219934,0.2341748,0.1046988,-0.08762524,-0.08219934,0.2341748,-0.08634145,0.2393103,-0.08219934,-0.08464751,0.2357542,0.0878344,-0.08219934,0.2341748,0.1046988,-0.1889117,0.4075383,-0.2306837
1.466589,-0.08103153,0.2346615,0.1052465,-0.08684019,-0.08103153,0.2346615,-0.08541156,0.2395448,-0.08103153,-0.08358338,0.2360865,0.08839891,-0.08103153,0.2346615,0.1052465,-0.1884548,0.4075545,-0.2304163
1.622128,-0.08102025,0.2347493,0.1054056,-0.08705479,-0.08102025,0.2347493,-0.08553413,0.239541,-0.08102025,-0.08364704,0.2361555,0.088529,-0.08102025,0.2347493,0.1054056,-0.1891641,0.407769,-0.2303673
1.676068,-0.08120211,0.2348085,0.1053411,-0.08722817,-0.08120211,0.2348085,-0.08570411,0.2395727,-0.08120211,-0.08382323,0.2362076,0.08846336,-0.08120211,0.2348085,0.1053411,-0.1894526,0.4078379,-0.2304143
1.714091,-0.08134758,0.2347352,0.1052654,-0.08733884,-0.08134758,0.2347352,-0.08582144,0.2395057,-0.08134758,-0.08395453,0.2361414,0.08839062,-0.08134758,0.2347352,0.1052654,-0.1896118,0.4078087,-0.2304567
1.743402,-0.08133955,0.234692,0.1051949,-0.08732653,-0.08133955,0.234692,-0.08580204,0.2394731,-0.08133955,-0.08393742,0.2361,0.08832171,-0.08133955,0.234692,0.1051949,-0.1896079,0.407775,-0.2304999
1.767884,-0.0812972,0.2347538,0.105168,-0.087276,-0.0812972,0.2347538,-0.08574565,0.2395471,-0.0812972,-0.08388525,0.2361659,0.0882904,-0.0812972,0.2347538,0.105168,-0.1895595,0.4078066,-0.2305496
1.79363,-0.08134314,0.2349385,0.1051534,-0.0871941,-0.08134314,0.2349385,-0.08569901,0.239736,-0.08134314,-0.08388354,0.2363529,0.08827012,-0.08134314,0.2349385,0.1051534,-0.1894941,0.4079444,-0.2305863
