time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
1.04,-0.1570476,0.2780635,-0.03279267,-0.1557863,0.2561971,0.03512461,-0.1521096,0.2493993,0.06861016,-0.1484852,0.2509609,0.09159879,0,0,0,-0.2406632,0.5159513,-0.1981438
1.283485,-0.09989746,0.2795992,-0.01792953,-0.07220276,0.2730998,0.04932852,-0.06134742,0.2727105,0.08248781,-0.05267156,0.2741822,0.1044454,-0.1864428,0.2876722,0.102747,-0.1871866,0.4767072,-0.2338112
1.38867,-0.09094529,0.2847178,-0.004590731,-0.06278198,0.2795657,0.06242918,-0.05154767,0.2781001,0.09512628,-0.04266249,0.2796372,0.1164113,-0.1042109,0.3009129,0.1357467,-0.1869995,0.4851464,-0.2131797
1.428739,-0.08922023,0.2845772,0.0002946945,-0.06158809,0.2796687,0.0675691,-0.05104781,0.2778631,0.1004716,-0.04265504,0.2799986,0.1217886,-0.09178649,0.3039445,0.1471401,-0.1851138,0.4883156,-0.2052848
1.451645,-0.08844129,0.283186,0.002956531,-0.0613678,0.2778564,0.07041757,-0.05177618,0.27599,0.1036186,-0.04389609,0.2785443,0.1250831,-0.09350225,0.298056,0.1514505,-0.1833289,0.4915716,-0.1983658
1.480305,-0.09102903,0.2783258,0.004075651,-0.06549573,0.2716414,0.07197157,-0.05776162,0.2699691,0.1056216,-0.05064137,0.2732448,0.1272238,-0.09520579,0.2908315,0.1532178,-0.1803747,0.4974889,-0.18814
1.516738,-0.09496766,0.2751518,0.002426842,-0.07103527,0.2669134,0.07068891,-0.06531302,0.2655264,0.1051684,-0.05949103,0.2696657,0.1271549,-0.1028474,0.2837341,0.1519238,-0.1792991,0.5014852,-0.1833809
1.54741,-0.09890073,0.2731152,0.0009343691,-0.07597661,0.2635775,0.06933452,-0.07080822,0.2620567,0.1037604,-0.06579354,0.2659754,0.1257793,-0.1105183,0.2819627,0.1521272,-0.1819598,0.5043959,-0.1793282
1.576002,-0.1020813,0.2722567,-0.004536132,-0.08199569,0.2622553,0.06448918,-0.07882804,0.2604519,0.09861483,-0.07529505,0.2640679,0.1205672,-0.1172435,0.2764886,0.1498806,-0.1845662,0.5061442,-0.1805291
1.618755,-0.1062399,0.2734523,-0.01128455,-0.08793205,0.2623346,0.05797781,-0.08387489,0.2604221,0.09166423,-0.07992318,0.2638925,0.1132296,-0.128486,0.2715361,0.141024,-0.1883123,0.5088305,-0.185217
1.652057,-0.107018,0.2736054,-0.01618611,-0.08854343,0.2627424,0.05301762,-0.08351498,0.260723,0.08675784,-0.07910368,0.263483,0.108482,-0.1323684,0.274754,0.1344938,-0.1887608,0.5082152,-0.1909025
1.681033,-0.1062421,0.2730157,-0.01991757,-0.08706789,0.2623937,0.04908397,-0.0810885,0.2614556,0.08312573,-0.07598666,0.2652715,0.1050954,-0.1314121,0.2754093,0.1303953,-0.1883887,0.5053578,-0.1970475
1.718368,-0.1035786,0.2720459,-0.02262787,-0.08346759,0.2621939,0.04612443,-0.07699507,0.2624488,0.08025289,-0.07164401,0.2668091,0.1021877,-0.1271634,0.2751541,0.1281139,-0.1856928,0.5010858,-0.203079
1.745545,-0.1015068,0.271501,-0.02396969,-0.08068199,0.2617883,0.0446109,-0.07430736,0.2625055,0.07868676,-0.06899021,0.267326,0.1005218,-0.1224012,0.2733249,0.1249367,-0.1835193,0.4988949,-0.2063464
1.777201,-0.1006402,0.2723258,-0.0232553,-0.0787642,0.262445,0.04501463,-0.07217938,0.2637827,0.0795756,-0.06658914,0.2691472,0.1015303,-0.1187055,0.2727441,0.1236619,-0.1824096,0.497939,-0.2078285
1.797689,-0.0996595,0.272493,-0.02247591,-0.07697738,0.262844,0.04560241,-0.07040468,0.2644952,0.08029551,-0.06481745,0.2698722,0.1022974,-0.1156868,0.2722849,0.1255948,-0.1812929,0.4969076,-0.2086475
1.818734,-0.09885977,0.2726007,-0.02147868,-0.07542136,0.2635767,0.04641941,-0.06876437,0.2651727,0.0810258,-0.06311072,0.2704867,0.1029668,-0.1135419,0.2724422,0.1269944,-0.1800384,0.4957931,-0.2090857
1.841486,-0.09783093,0.2733971,-0.01997839,-0.07380967,0.2644135,0.04769156,-0.06710315,0.2661836,0.08226854,-0.0613853,0.2717617,0.1040028,-0.1105695,0.2730414,0.1281848,-0.1784168,0.4949321,-0.2093717
1.867391,-0.09722199,0.273897,-0.01916902,-0.07301385,0.2649079,0.04841633,-0.06626438,0.2667445,0.08297472,-0.0605128,0.2724499,0.1045978,-0.1078714,0.2743032,0.1296339,-0.177463,0.4946097,-0.2093976
1.890389,-0.09741057,0.2745334,-0.01762022,-0.07284849,0.2655498,0.04976086,-0.06582977,0.2674766,0.08422194,-0.05987554,0.2732512,0.1056931,-0.1071325,0.2750138,0.130377,-0.1772951,0.4952648,-0.2076273
1.911332,-0.09744346,0.2751715,-0.01688761,-0.07269507,0.2663378,0.05041646,-0.06543873,0.2681561,0.08467685,-0.05928991,0.2737861,0.1059994,-0.1052698,0.2795866,0.1320657,-0.1784518,0.4948589,-0.2074573
1.938317,-0.09802727,0.2765531,-0.01612751,-0.07278346,0.2683213,0.0510208,-0.06527599,0.2701521,0.08504006,-0.05902565,0.2755399,0.1062023,-0.1039806,0.2823927,0.1327681,-0.1805038,0.4943116,-0.2079947
1.964048,-0.09857474,0.277288,-0.01613276,-0.07291728,0.2692579,0.05085241,-0.06503511,0.2707769,0.08459336,-0.05854304,0.2752864,0.1057027,-0.1033222,0.2856194,0.1330998,-0.1814442,0.4944903,-0.2082705
1.984445,-0.1000299,0.277189,-0.01635436,-0.074296,0.2695637,0.05060032,-0.06558059,0.2714823,0.08428729,-0.05849658,0.2762972,0.1052307,-0.1037497,0.2869247,0.13279,-0.1840754,0.4913183,-0.2111265
2.005168,-0.1013323,0.2773823,-0.01652644,-0.07556722,0.2697113,0.05039699,-0.06637644,0.2721522,0.08399859,-0.05893026,0.2775463,0.1047904,-0.09715929,0.2919543,0.1318515,-0.1864397,0.4890065,-0.2133683
2.033661,-0.1042712,0.2764612,-0.01667049,-0.08015387,0.2681565,0.05079244,-0.06960211,0.2709386,0.0837227,-0.06088535,0.2770058,0.1039266,-0.09431189,0.2933919,0.1311008,-0.190893,0.4842652,-0.2168437
2.055996,-0.1098704,0.2759952,-0.01659444,-0.08824661,0.2662525,0.05148659,-0.07631259,0.2694977,0.08349241,-0.06671012,0.2761781,0.1028709,-0.09232252,0.2980313,0.1274069,-0.1973957,0.4798078,-0.2202015
