time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
1.04,-0.1659966,0.2812639,-0.03062719,-0.1724051,0.2657295,0.0349274,-0.174051,0.257545,0.07453783,-0.1715342,0.2587164,0.1036975,0,0,0,-0.2406632,0.5159513,-0.1981438
1.283485,-0.1073663,0.2831098,-0.01197443,-0.08840625,0.2823306,0.05462726,-0.07735673,0.2778994,0.09219661,-0.06765252,0.2772458,0.1183903,-0.1864428,0.2876722,0.102747,-0.1871866,0.4767072,-0.2338112
1.38867,-0.0984878,0.2881502,0.001244217,-0.07916863,0.2885058,0.06760156,-0.06883546,0.2825579,0.1048811,-0.05998857,0.2804497,0.1305923,-0.1042109,0.3009129,0.1357467,-0.1869995,0.4851464,-0.2131797
1.428739,-0.09681423,0.2878694,0.006078516,-0.07815826,0.2882476,0.07263877,-0.0692625,0.2824108,0.1101504,-0.06152347,0.2808482,0.1359883,-0.09178649,0.3039445,0.1471401,-0.1851138,0.4883156,-0.2052848
1.451645,-0.09608616,0.2863915,0.008795688,-0.07807501,0.2861958,0.07552717,-0.07142664,0.2812496,0.1137413,-0.06512556,0.2808412,0.1400902,-0.09350225,0.298056,0.1514505,-0.1833289,0.4915716,-0.1983658
1.480305,-0.0987105,0.281244,0.009972943,-0.08222859,0.2796841,0.07704198,-0.079408,0.2762507,0.1160817,-0.07492419,0.2777679,0.1432411,-0.09520579,0.2908315,0.1532178,-0.1803747,0.4974889,-0.18814
1.516738,-0.1026584,0.2780432,0.008165237,-0.08771158,0.2750155,0.07550164,-0.08510003,0.2721592,0.1149118,-0.08087763,0.2744285,0.1425135,-0.1028474,0.2837341,0.1519238,-0.1792991,0.5014852,-0.1833809
1.54741,-0.1067187,0.275645,0.006534175,-0.09291243,0.2710709,0.07399475,-0.09127598,0.2693841,0.1134914,-0.08758854,0.2729245,0.1410019,-0.1105183,0.2819627,0.1521272,-0.1819598,0.5043959,-0.1793282
1.576002,-0.1102893,0.2746038,0.0005201959,-0.09934419,0.2693912,0.06827573,-0.09962356,0.2672839,0.1075164,-0.09726665,0.2703222,0.134701,-0.1172435,0.2764886,0.1498806,-0.1845662,0.5061442,-0.1805291
1.618755,-0.1144476,0.2757215,-0.006411453,-0.1052012,0.2694749,0.06142907,-0.1048462,0.2676087,0.1001749,-0.1019203,0.2712286,0.1269294,-0.128486,0.2715361,0.141024,-0.1883123,0.5088305,-0.185217
1.652057,-0.1151482,0.2758964,-0.01130479,-0.1057251,0.2699094,0.05648478,-0.1037704,0.2670882,0.09513081,-0.1004638,0.2687345,0.1220609,-0.1323684,0.274754,0.1344938,-0.1887608,0.5082152,-0.1909025
1.681033,-0.11423,0.2753792,-0.01493707,-0.1041193,0.2696186,0.05272799,-0.1010161,0.2662192,0.09133607,-0.09688845,0.2676906,0.1183931,-0.1314121,0.2754093,0.1303953,-0.1883887,0.5053578,-0.1970475
1.718368,-0.1114828,0.2744985,-0.01748006,-0.100442,0.2694871,0.05001071,-0.09653357,0.2664128,0.08839243,-0.09208012,0.2677708,0.1153083,-0.1271634,0.2751541,0.1281139,-0.1856928,0.5010858,-0.203079
1.745545,-0.1093732,0.2738397,-0.01868873,-0.09766426,0.2689089,0.04871462,-0.09359114,0.2662912,0.0870613,-0.08902879,0.2680697,0.113921,-0.1224012,0.2733249,0.1249367,-0.1835193,0.4988949,-0.2063464
1.777201,-0.1083562,0.2747372,-0.01780242,-0.09559046,0.2696949,0.04943853,-0.09081499,0.2676148,0.08828229,-0.08591381,0.2695352,0.1153968,-0.1187055,0.2727441,0.1236619,-0.1824096,0.497939,-0.2078285
1.797689,-0.1073076,0.2749271,-0.01694374,-0.0937597,0.2701009,0.05019515,-0.08885089,0.268287,0.08922376,-0.08393744,0.2701624,0.1163995,-0.1156868,0.2722849,0.1255948,-0.1812929,0.4969076,-0.2086475
1.818734,-0.1064783,0.2750439,-0.01589999,-0.09220593,0.2707905,0.05111874,-0.0869556,0.2689488,0.09021164,-0.08187129,0.2706225,0.1173432,-0.1135419,0.2724422,0.1269944,-0.1800384,0.4957931,-0.2090857
1.841486,-0.105408,0.2758245,-0.01432145,-0.0905572,0.2716084,0.05254696,-0.08538789,0.2699131,0.09168217,-0.08021849,0.2718298,0.1187681,-0.1105695,0.2730414,0.1281848,-0.1784168,0.4949321,-0.2093717
1.867391,-0.1047833,0.2763259,-0.01348724,-0.08974084,0.2721128,0.05332286,-0.08458851,0.2703891,0.09244196,-0.07938485,0.2723214,0.11949,-0.1078714,0.2743032,0.1296339,-0.177463,0.4946097,-0.2093976
1.890389,-0.1049505,0.2770723,-0.01190148,-0.08947716,0.2729946,0.0547484,-0.08409,0.2715105,0.09363162,-0.07839162,0.2743557,0.1205227,-0.1071325,0.2750138,0.130377,-0.1772951,0.4952648,-0.2076273
1.911332,-0.1049731,0.2777135,-0.01115956,-0.08929079,0.2738213,0.05542655,-0.08370731,0.2727608,0.09422794,-0.07773113,0.276049,0.1210019,-0.1052698,0.2795866,0.1320657,-0.1784518,0.4948589,-0.2074573
1.938317,-0.1055153,0.2792124,-0.01037792,-0.08929823,0.2759831,0.05607194,-0.08356748,0.2754883,0.09464805,-0.07761928,0.2788268,0.121172,-0.1039806,0.2823927,0.1327681,-0.1805038,0.4943116,-0.2079947
1.964048,-0.1060269,0.2799677,-0.0103482,-0.08938117,0.2769639,0.05597835,-0.08249338,0.2764598,0.09412894,-0.07563813,0.2796456,0.1200874,-0.1033222,0.2856194,0.1330998,-0.1814442,0.4944903,-0.2082705
1.984445,-0.1075068,0.2798294,-0.01057672,-0.09079228,0.2772015,0.05570431,-0.08168026,0.2774118,0.0937435,-0.07274255,0.2817945,0.1191417,-0.1037497,0.2869247,0.13279,-0.1840754,0.4913183,-0.2111265
2.005168,-0.1088105,0.2799686,-0.01075123,-0.0920803,0.2772648,0.05551,-0.08119268,0.2783482,0.09329788,-0.07094065,0.2837829,0.1181112,-0.09715929,0.2919543,0.1318515,-0.1864397,0.4890065,-0.2133683
2.033661,-0.1118827,0.2789164,-0.01116551,-0.09688716,0.2753933,0.05547378,-0.08275182,0.2782615,0.09221271,-0.07016674,0.2857201,0.1152179,-0.09431189,0.2933919,0.1311008,-0.190893,0.4842652,-0.2168437
2.055996,-0.1176544,0.2782392,-0.01147733,-0.1050729,0.2733714,0.05554682,-0.08920147,0.2776723,0.0910222,-0.07537995,0.2871503,0.1124405,-0.09232252,0.2980313,0.1274069,-0.1973957,0.4798078,-0.2202015
2.081806,-0.1243185,0.2790053,-0.01132751,-0.1140285,0.2715212,0.05578424,-0.0985998,0.2767299,0.09126866,-0.08486332,0.2876539,0.1124295,-0.09899539,0.3036387,0.1229148,-0.2059396,0.4780694,-0.2212167
2.101019,-0.1350387,0.2766968,-0.01095372,-0.1297084,0.2641029,0.05609145,-0.1162677,0.2702571,0.09228013,-0.1028448,0.2827688,0.113302,-0.1081464,0.3090437,0.1192928,-0.2167189,0.4764602,-0.2199645
2.135738,-0.1493104,0.2741505,-0.005821394,-0.1517237,0.259947,0.0605484,-0.1414648,0.2682988,0.09641822,-0.1293349,0.2827312,0.1148512,-0.1251437,0.3049101,0.117983,-0.2175128,0.473963,-0.2151341
2.164067,-0.1630479,0.2693944,-0.004646172,-0.1730161,0.2540751,0.06031677,-0.1676505,0.2609588,0.09667315,-0.1568073,0.2743626,0.1170439,-0.1473572,0.30274,0.1165255,-0.2227728,0.4668058,-0.2136772
2.189364,-0.1761399,0.2654812,0.004664308,-0.1928917,0.2480893,0.0676412,-0.1916447,0.256575,0.1032356,-0.1818962,0.2724352,0.1188418,-0.1768027,0.2979426,0.117895,-0.2286662,0.4598757,-0.2110333
2.212306,-0.1875542,0.2660628,0.008367475,-0.2065152,0.2475282,0.07061948,-0.2056668,0.2557625,0.1057515,-0.1960278,0.2707522,0.1193991,-0.1914241,0.2949042,0.1085675,-0.2327478,0.458279,-0.2116265
3.871293,-0.1654407,0.2863538,-0.03082891,-0.1750617,0.2631566,0.03374529,-0.1736253,0.2537391,0.07356522,-0.1666655,0.2563857,0.1023555,-0.2011462,0.2955118,0.1056499,-0.251111,0.5084959,-0.2187558
4.174889,-0.08571165,0.3068458,-0.03086229,-0.06906632,0.3041963,0.04035997,-0.05852629,0.2967948,0.07930785,-0.04690445,0.2998313,0.1054713,-0.1836259,0.2837514,0.1030269,-0.1862947,0.504337,-0.2600631
4.235877,-0.0791176,0.3012017,-0.02940634,-0.06161861,0.2991565,0.04162926,-0.05226786,0.2937173,0.08100313,-0.04150276,0.2975326,0.107468,-0.08498656,0.3337231,0.1219806,-0.1912847,0.4884433,-0.2633423
4.280938,-0.08534519,0.2985366,-0.03002711,-0.06728575,0.2958479,0.0405656,-0.05703846,0.2905843,0.08019971,-0.04550241,0.295236,0.1066125,-0.07912292,0.3285668,0.1232094,-0.1897171,0.4825853,-0.2693316
4.322154,-0.08805675,0.3015064,-0.03191535,-0.06924716,0.2987401,0.03837492,-0.05845078,0.2946914,0.07785429,-0.04647689,0.2999675,0.1038448,-0.08217289,0.3225514,0.1210932,-0.190511,0.4845626,-0.2733201
4.374592,-0.09086594,0.3051617,-0.02977123,-0.07217485,0.3022743,0.04032231,-0.06130266,0.2985739,0.07975028,-0.04949265,0.3037344,0.105576,-0.08184986,0.3221526,0.1178423,-0.1921658,0.4849037,-0.2728594
4.427456,-0.09267553,0.30621,-0.03003011,-0.07415746,0.3034241,0.04006179,-0.06348935,0.2998432,0.07956471,-0.0518599,0.305031,0.1054788,-0.08145165,0.3237836,0.1187807,-0.193599,0.4834832,-0.2743366
4.467863,-0.093965,0.3065263,-0.02957545,-0.07564212,0.3039625,0.04046906,-0.06497028,0.3003839,0.07993608,-0.05325782,0.305638,0.1058399,-0.08316678,0.3250551,0.1186179,-0.1949897,0.4841455,-0.2731239
4.501063,-0.09491894,0.30744,-0.02896728,-0.07682817,0.3050239,0.04103161,-0.0662375,0.301279,0.08045669,-0.05459299,0.3063799,0.1064137,-0.08459593,0.3267131,0.1191748,-0.1960453,0.4835376,-0.2729586
4.551932,-0.09449805,0.3077597,-0.0288425,-0.07662319,0.3057041,0.04112284,-0.06597175,0.3016057,0.08056431,-0.05435304,0.306227,0.1067674,-0.08704835,0.3285419,0.1200826,-0.1956388,0.4846925,-0.2720718
4.607618,-0.09405595,0.3082215,-0.02844472,-0.07634976,0.306269,0.04146988,-0.06571505,0.3018986,0.08095611,-0.05419336,0.3063518,0.107306,-0.08684558,0.3296542,0.1207722,-0.1949932,0.4849115,-0.27118
4.675351,-0.09338465,0.3082969,-0.02846865,-0.07580906,0.3064406,0.04139408,-0.06525193,0.3017185,0.08085563,-0.05388499,0.3057876,0.1072807,-0.08611838,0.3302304,0.1214743,-0.1940926,0.4851778,-0.2707784
4.738735,-0.09293197,0.3085442,-0.02838113,-0.07543085,0.3067566,0.04141543,-0.06491764,0.3014262,0.0807072,-0.05364929,0.3049432,0.1071164,-0.0855816,0.3304871,0.121487,-0.1931848,0.4858468,-0.2700534
4.779769,-0.09253961,0.3085749,-0.02859814,-0.07508803,0.3068032,0.04117069,-0.06464673,0.3013951,0.08042733,-0.05346647,0.3048698,0.1068175,-0.08520773,0.3306969,0.1215663,-0.1911705,0.4861902,-0.2700107
4.838907,-0.09246857,0.3077142,-0.02902431,-0.07509374,0.306039,0.04067729,-0.06472455,0.3004194,0.07984532,-0.05365312,0.3037236,0.1061756,-0.08482342,0.3306749,0.1212037,-0.1912144,0.4846149,-0.2703267
4.881008,-0.09232962,0.3062823,-0.02962569,-0.07501558,0.3046111,0.04003058,-0.06467505,0.2988597,0.0791439,-0.05363983,0.3021071,0.1054383,-0.08452918,0.3298346,0.1203495,-0.1909682,0.4832757,-0.2711437
4.915486,-0.09192307,0.305435,-0.03044253,-0.07456677,0.303669,0.03915721,-0.0642099,0.2978874,0.07822625,-0.0531398,0.3011912,0.1044564,-0.08426361,0.3281808,0.1193623,-0.1909225,0.4822086,-0.2719396
