time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
1.04,-0.1780385,0.3038046,-0.03082705,-0.1974192,0.2993314,0.02178358,-0.20241,0.3027832,0.04797075,-0.2003799,0.3069597,0.06722811,-0.1864428,0.2876722,0.102747,-0.2406632,0.5159513,-0.1981438
1.283485,-0.1196052,0.3045955,-0.01077768,-0.1186807,0.3118245,0.04631455,-0.1214492,0.3142819,0.07320898,-0.1205876,0.3182212,0.09396881,-0.1042109,0.3009129,0.1357467,-0.1871866,0.4767072,-0.2338112
1.38867,-0.1110562,0.30942,0.002750813,-0.1099622,0.317266,0.05964299,-0.115898,0.3183979,0.08570859,-0.1181374,0.3204951,0.1067923,-0.09178649,0.3039445,0.1471401,-0.1869995,0.4851464,-0.2131797
1.428739,-0.1098448,0.3086773,0.007674424,-0.1095085,0.3161484,0.06463628,-0.1164337,0.3166797,0.09029492,-0.1197244,0.3180801,0.111209,-0.09350225,0.298056,0.1514505,-0.1851138,0.4883156,-0.2052848
1.451645,-0.1094104,0.306843,0.01059285,-0.1097507,0.3135405,0.06764635,-0.1180293,0.3133028,0.09300061,-0.1226817,0.313877,0.113583,-0.09520579,0.2908315,0.1532178,-0.1833289,0.4915716,-0.1983658
1.480305,-0.1119533,0.3015581,0.01202384,-0.1136054,0.3070481,0.06915247,-0.1219339,0.3042254,0.09416588,-0.1262071,0.3023731,0.1146453,-0.1028474,0.2837341,0.1519238,-0.1803747,0.4974889,-0.18814
1.516738,-0.1157376,0.2982829,0.01022562,-0.1186314,0.3026453,0.06736785,-0.128646,0.3007876,0.09214568,-0.133933,0.2999549,0.1125902,-0.1105183,0.2819627,0.1521272,-0.1792991,0.5014852,-0.1833809
1.54741,-0.1203803,0.2953462,0.008658615,-0.1244365,0.2979226,0.06581891,-0.1341905,0.2953367,0.09058534,-0.1391338,0.2944577,0.1109897,-0.1172435,0.2764886,0.1498806,-0.1819598,0.5043959,-0.1793282
1.576002,-0.1244828,0.2940686,0.002189616,-0.1310308,0.295787,0.05899655,-0.1416243,0.29391,0.08347042,-0.1467376,0.2937591,0.103418,-0.128486,0.2715361,0.141024,-0.1845662,0.5061442,-0.1805291
1.618755,-0.128578,0.2951941,-0.005043258,-0.1364827,0.2961584,0.05153948,-0.1452211,0.2951845,0.07631971,-0.148055,0.296891,0.0963341,-0.1323684,0.274754,0.1344938,-0.1883123,0.5088305,-0.185217
1.652057,-0.1292296,0.2954335,-0.009956172,-0.1369662,0.2966341,0.04660434,-0.1455357,0.2955856,0.07149545,-0.1491885,0.2966311,0.09159391,-0.1314121,0.2754093,0.1303953,-0.1887608,0.5082152,-0.1909025
1.681033,-0.1283805,0.2948537,-0.01361051,-0.1355375,0.2962271,0.04298522,-0.1439304,0.2953177,0.06835674,-0.1476568,0.2963449,0.08855762,-0.1271634,0.2751541,0.1281139,-0.1883887,0.5053578,-0.1970475
1.718368,-0.1256042,0.2939173,-0.01607414,-0.1319625,0.2959098,0.0405256,-0.1398053,0.2950574,0.06603507,-0.1433989,0.2959142,0.08625452,-0.1224012,0.2733249,0.1249367,-0.1856928,0.5010858,-0.203079
1.745545,-0.1235838,0.2931956,-0.01700751,-0.129426,0.2951543,0.0396647,-0.1365921,0.2940224,0.06524767,-0.1395843,0.2946835,0.08544147,-0.1187055,0.2727441,0.1236619,-0.1835193,0.4988949,-0.2063464
1.777201,-0.1222339,0.2940433,-0.01586463,-0.1271579,0.2960035,0.04092591,-0.1337314,0.2941684,0.06706833,-0.1365923,0.293863,0.08750831,-0.1156868,0.2722849,0.1255948,-0.1824096,0.497939,-0.2078285
1.797689,-0.1211539,0.2941771,-0.01493428,-0.1254347,0.2962968,0.04193141,-0.1319291,0.2943867,0.06823088,-0.1349232,0.2939458,0.08867116,-0.1135419,0.2724422,0.1269944,-0.1812929,0.4969076,-0.2086475
1.818734,-0.1203597,0.2942127,-0.01387945,-0.1240543,0.2967402,0.04300354,-0.130645,0.2950745,0.06933315,-0.1337516,0.2948586,0.08974431,-0.1105695,0.2730414,0.1281848,-0.1800384,0.4957931,-0.2090857
1.841486,-0.1192188,0.2949698,-0.01215682,-0.1224166,0.297525,0.04473326,-0.1290479,0.2955167,0.07101799,-0.1322754,0.2948219,0.09142009,-0.1078714,0.2743032,0.1296339,-0.1784168,0.4949321,-0.2093717
1.867391,-0.1185337,0.2954729,-0.01128086,-0.1215582,0.2980464,0.04560523,-0.1281913,0.2959408,0.07186611,-0.1314625,0.2951073,0.09227326,-0.1071325,0.2750138,0.130377,-0.177463,0.4946097,-0.2093976
1.890389,-0.1183743,0.2964762,-0.009706353,-0.1209206,0.2993988,0.0471295,-0.1277258,0.2974119,0.07337051,-0.130938,0.2970403,0.09384216,-0.1052698,0.2795866,0.1320657,-0.1772951,0.4952648,-0.2076273
1.911332,-0.1183448,0.2972059,-0.008971542,-0.1206786,0.3003538,0.04784036,-0.1276317,0.2987085,0.07398684,-0.1308553,0.2987515,0.09441736,-0.1039806,0.2823927,0.1327681,-0.1784518,0.4948589,-0.2074573
1.938317,-0.1187519,0.2988286,-0.008255244,-0.120567,0.3026643,0.04849822,-0.1270746,0.3021827,0.07448772,-0.1295881,0.3034459,0.09482231,-0.1033222,0.2856194,0.1330998,-0.1805038,0.4943116,-0.2079947
1.964048,-0.1191863,0.2996537,-0.008261967,-0.1206078,0.3037292,0.04846351,-0.125807,0.3043595,0.07451747,-0.126799,0.3069488,0.0948422,-0.1037497,0.2869247,0.13279,-0.1814442,0.4944903,-0.2082705
1.984445,-0.1207006,0.299493,-0.008631006,-0.1220701,0.3038468,0.0480392,-0.1271329,0.3049422,0.07420059,-0.1277519,0.3083235,0.09431338,-0.09715929,0.2919543,0.1318515,-0.1840754,0.4913183,-0.2111265
2.005168,-0.1220209,0.2995795,-0.008828085,-0.1233964,0.3038139,0.04784066,-0.128106,0.3046205,0.07405158,-0.1283148,0.307871,0.09403709,-0.09431189,0.2933919,0.1311008,-0.1864397,0.4890065,-0.2133683
