time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
1.04,-0.1864428,0.2876722,0.102747,-0.1882674,-0.1864428,0.2876722,-0.1931456,0.2801186,-0.1864428,-0.1914063,0.2831815,0.08943629,-0.1864428,0.2876722,0.102747,-0.2406632,0.5159513,-0.1981438
1.283485,-0.1042109,0.3009129,0.1357467,-0.1060748,-0.1042109,0.3009129,-0.1084044,0.2953478,-0.1042109,-0.1074519,0.2971244,0.1171503,-0.1042109,0.3009129,0.1357467,-0.1871866,0.4767072,-0.2338112
1.38867,-0.09178649,0.3039445,0.1471401,-0.09709498,-0.09178649,0.3039445,-0.09692833,0.3007327,-0.09178649,-0.09498033,0.3016078,0.1286134,-0.09178649,0.3039445,0.1471401,-0.1869995,0.4851464,-0.2131797
1.428739,-0.09350225,0.298056,0.1514505,-0.09635313,-0.09350225,0.298056,-0.09674314,0.2982854,-0.09350225,-0.09570464,0.2974293,0.1327973,-0.09350225,0.298056,0.1514505,-0.1851138,0.4883156,-0.2052848
1.451645,-0.09520579,0.2908315,0.1532178,-0.09642144,-0.09520579,0.2908315,-0.09720423,0.294084,-0.09520579,-0.09677524,0.2916428,0.1345403,-0.09520579,0.2908315,0.1532178,-0.1833289,0.4915716,-0.1983658
1.480305,-0.1028474,0.2837341,0.1519238,-0.1004774,-0.1028474,0.2837341,-0.1035432,0.2866662,-0.1028474,-0.1039194,0.2842438,0.1340177,-0.1028474,0.2837341,0.1519238,-0.1803747,0.4974889,-0.18814
1.516738,-0.1105183,0.2819627,0.1521272,-0.1058078,-0.1105183,0.2819627,-0.1103861,0.2830504,-0.1105183,-0.1116111,0.2816189,0.1334174,-0.1105183,0.2819627,0.1521272,-0.1792991,0.5014852,-0.1833809
1.54741,-0.1172435,0.2764886,0.1498806,-0.1113568,-0.1172435,0.2764886,-0.1166163,0.2779815,-0.1172435,-0.1181633,0.2761893,0.1314996,-0.1172435,0.2764886,0.1498806,-0.1819598,0.5043959,-0.1793282
1.576002,-0.128486,0.2715361,0.141024,-0.1179924,-0.128486,0.2715361,-0.1256209,0.2746851,-0.128486,-0.1284478,0.2719431,0.1231853,-0.128486,0.2715361,0.141024,-0.1845662,0.5061442,-0.1805291
1.618755,-0.1323684,0.274754,0.1344938,-0.1236596,-0.1323684,0.274754,-0.130853,0.2754596,-0.1323684,-0.1329447,0.2737167,0.1166934,-0.1323684,0.274754,0.1344938,-0.1883123,0.5088305,-0.185217
1.652057,-0.1314121,0.2754093,0.1303953,-0.1241717,-0.1314121,0.2754093,-0.1303611,0.2761864,-0.1314121,-0.1320483,0.2746979,0.1123635,-0.1314121,0.2754093,0.1303953,-0.1887608,0.5082152,-0.1909025
1.681033,-0.1271634,0.2751541,0.1281139,-0.1225865,-0.1271634,0.2751541,-0.1273887,0.2761926,-0.1271634,-0.1284001,0.2746952,0.1097523,-0.1271634,0.2751541,0.1281139,-0.1883887,0.5053578,-0.1970475
1.718368,-0.1224012,0.2733249,0.1249367,-0.1188974,-0.1224012,0.2733249,-0.1226671,0.2757928,-0.1224012,-0.1235069,0.2736974,0.1066749,-0.1224012,0.2733249,0.1249367,-0.1856928,0.5010858,-0.203079
