time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
1.04,-0.1442435,0.2876531,-0.03266703,-0.1442435,0.2876531,-0.03266703,-0.1214357,0.2812866,0.01466064,-0.1122189,0.2842742,0.04302483,0,0,0,-0.2406632,0.5159513,-0.1981438
1.283485,-0.08719599,0.2886442,-0.02488618,-0.08719599,0.2886442,-0.02488618,-0.05072281,0.2771924,0.008867551,-0.03418174,0.2778442,0.03213966,-0.1864428,0.2876722,0.102747,-0.1871866,0.4767072,-0.2338112
1.38867,-0.07823019,0.2939399,-0.01149329,-0.07823019,0.2939399,-0.01149329,-0.04179967,0.2803593,0.02336477,-0.02481659,0.2795707,0.0473706,-0.1042109,0.3009129,0.1357467,-0.1869995,0.4851464,-0.2131797
1.428739,-0.07661834,0.2942614,-0.006288596,-0.07661834,0.2942614,-0.006288596,-0.04023826,0.2810355,0.02926016,-0.0232977,0.2801325,0.05376207,-0.09178649,0.3039445,0.1471401,-0.1851138,0.4883156,-0.2052848
1.451645,-0.07587832,0.2932868,-0.003338428,-0.07587832,0.2932868,-0.003338428,-0.03956686,0.2806093,0.03319189,-0.02285148,0.2801463,0.05856768,-0.09350225,0.298056,0.1514505,-0.1833289,0.4915716,-0.1983658
1.480305,-0.07823639,0.2883747,-0.001743626,-0.07823639,0.2883747,-0.001743626,-0.04251285,0.2784832,0.03650193,-0.02617686,0.2800086,0.06314536,-0.09520579,0.2908315,0.1532178,-0.1803747,0.4974889,-0.18814
1.516738,-0.08192398,0.2852118,-0.002907391,-0.08192398,0.2852118,-0.002907391,-0.04708355,0.2761765,0.03589714,-0.03130738,0.2782528,0.06280296,-0.1028474,0.2837341,0.1519238,-0.1792991,0.5014852,-0.1833809
1.54741,-0.08614791,0.283817,-0.003969532,-0.08614791,0.283817,-0.003969532,-0.05142775,0.2740184,0.0351717,-0.03613535,0.275457,0.06246819,-0.1105183,0.2819627,0.1521272,-0.1819598,0.5043959,-0.1793282
1.576002,-0.08948422,0.2833565,-0.00894143,-0.08948422,0.2833565,-0.00894143,-0.05594353,0.2749421,0.03158822,-0.04146248,0.2767321,0.05898637,-0.1172435,0.2764886,0.1498806,-0.1845662,0.5061442,-0.1805291
1.618755,-0.09355567,0.2844284,-0.01530907,-0.09355567,0.2844284,-0.01530907,-0.0599083,0.2744713,0.02585067,-0.0462216,0.2760214,0.05393237,-0.128486,0.2715361,0.141024,-0.1883123,0.5088305,-0.185217
1.652057,-0.09437858,0.2845207,-0.02020519,-0.09437858,0.2845207,-0.02020519,-0.06032881,0.2740714,0.02026386,-0.04698379,0.2760268,0.04835506,-0.1323684,0.274754,0.1344938,-0.1887608,0.5082152,-0.1909025
1.681033,-0.09369373,0.2839657,-0.02409858,-0.09369373,0.2839657,-0.02409858,-0.05905868,0.2741736,0.01554582,-0.04567101,0.2769196,0.04296855,-0.1314121,0.2754093,0.1303953,-0.1883887,0.5053578,-0.1970475
1.718368,-0.09101571,0.2829408,-0.02707095,-0.09101571,0.2829408,-0.02707095,-0.0558401,0.2740493,0.01223861,-0.04205404,0.2770812,0.03918206,-0.1271634,0.2751541,0.1281139,-0.1856928,0.5010858,-0.203079
1.745545,-0.0890035,0.2824239,-0.02848433,-0.0890035,0.2824239,-0.02848433,-0.05339024,0.2741905,0.0104552,-0.03946605,0.2773414,0.03713368,-0.1224012,0.2733249,0.1249367,-0.1835193,0.4988949,-0.2063464
