time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.07530639,0.316786,-0.01860493,-0.04831839,0.3115506,0.03680174,-0.0371163,0.3076758,0.06440418,-0.02901048,0.3092657,0.08231176,0,0,0,-0.147053,0.4843075,-0.1983916
0.04,-0.07538614,0.3169115,-0.01847511,-0.04833807,0.3116229,0.03692225,-0.0371025,0.3078112,0.06451041,-0.02898859,0.3093997,0.08240866,-0.08728645,0.3099287,0.1099566,-0.1471643,0.4844918,-0.1982899
1.04,-0.07525457,0.3184501,-0.02037004,-0.04820015,0.3133892,0.03535312,-0.03701558,0.3094456,0.06302942,-0.02887691,0.3109891,0.08102064,-0.08703611,0.3096583,0.1100649,-0.1490386,0.4865711,-0.2007254
1.242136,-0.07559273,0.316981,-0.01966549,-0.04845109,0.312143,0.03604925,-0.03719152,0.308448,0.06375556,-0.02904689,0.3101273,0.08175173,-0.08719836,0.3119447,0.1087791,-0.149631,0.4850493,-0.2000129
1.309274,-0.07587798,0.3169446,-0.01913877,-0.04863895,0.3119958,0.03653653,-0.03732155,0.3084533,0.06428423,-0.02915416,0.3102805,0.08227532,-0.08733746,0.3104284,0.1095879,-0.1499573,0.4850699,-0.1994683
1.32839,-0.07588539,0.3170947,-0.0189505,-0.04862411,0.3121095,0.03671579,-0.03728602,0.3085901,0.06447055,-0.02910869,0.3104438,0.08246306,-0.08723717,0.3099376,0.1101296,-0.1499817,0.4852333,-0.1992776
1.347267,-0.07584487,0.3171741,-0.01887469,-0.04855257,0.3121954,0.03678244,-0.03721515,0.3087203,0.06454726,-0.02905065,0.3106,0.08253914,-0.08721282,0.3098665,0.1103216,-0.1499684,0.4852966,-0.1992083
1.364368,-0.07577508,0.3173029,-0.01874858,-0.04845732,0.3123239,0.03690201,-0.03711952,0.308876,0.06468061,-0.02895962,0.3107858,0.08267477,-0.08714705,0.3098915,0.110395,-0.1499222,0.4854267,-0.1990895
1.379537,-0.07569999,0.3173948,-0.01866136,-0.04837348,0.3124134,0.03698917,-0.03704038,0.3089749,0.06478087,-0.02888349,0.3109034,0.08277765,-0.08704266,0.309949,0.1105281,-0.1498587,0.4855224,-0.1990105
1.396712,-0.07560548,0.3175045,-0.01853713,-0.04826977,0.3125053,0.03711274,-0.0369394,0.3090687,0.0649132,-0.02878299,0.3110068,0.08290829,-0.08696426,0.3100057,0.1106195,-0.1497754,0.4856446,-0.1988937
1.411956,-0.07549702,0.317569,-0.0184733,-0.04817077,0.3125637,0.03718375,-0.0368418,0.3091181,0.06499668,-0.02868386,0.3110554,0.08300009,-0.086849,0.3100712,0.1107444,-0.1496723,0.4857197,-0.1988288
1.427783,-0.07532761,0.3176365,-0.01839991,-0.0480189,0.3125942,0.03726528,-0.03670435,0.3091399,0.06508499,-0.0285519,0.3110867,0.08309104,-0.08677893,0.3101017,0.1108231,-0.1495082,0.485794,-0.1987547
1.443066,-0.07519337,0.3177611,-0.01832128,-0.04789889,0.3126481,0.03734906,-0.03660514,0.3091475,0.06516948,-0.02845746,0.3110847,0.08317477,-0.08662804,0.3099992,0.1108861,-0.1493599,0.4859589,-0.1986798
1.459586,-0.07509551,0.3178993,-0.01823257,-0.0478135,0.3127003,0.03744074,-0.03654376,0.3091385,0.06526006,-0.02840768,0.3110507,0.083264,-0.08649947,0.3100373,0.1109567,-0.1492435,0.4861442,-0.1985945
1.47497,-0.07503454,0.3180713,-0.01817181,-0.04776373,0.3127854,0.03750169,-0.03651626,0.3091405,0.06531377,-0.02839097,0.3109761,0.0833198,-0.08643151,0.3101394,0.1110463,-0.1491626,0.4863603,-0.198531
1.492385,-0.07499232,0.3183342,-0.01809154,-0.04774599,0.3129365,0.03758523,-0.03651809,0.3091891,0.06537466,-0.02839847,0.3109371,0.08337697,-0.08641322,0.3102821,0.1110997,-0.1490926,0.4866653,-0.1984448
1.510999,-0.07495943,0.3185972,-0.01803015,-0.04771986,0.3131202,0.03764425,-0.03651522,0.3092774,0.06540541,-0.02840808,0.310942,0.0834052,-0.08644573,0.3105361,0.1111683,-0.1490422,0.4869628,-0.1983786
1.525862,-0.07495262,0.3188157,-0.01801833,-0.04771822,0.3132908,0.03765506,-0.03652851,0.3094031,0.06539585,-0.02843089,0.3110374,0.08338903,-0.08652052,0.3108158,0.1112075,-0.1490138,0.4872075,-0.198368
1.539747,-0.07497233,0.3190406,-0.01800643,-0.04773781,0.3134721,0.03766343,-0.03655512,0.3095487,0.0653837,-0.02846262,0.3111582,0.08337031,-0.08658158,0.3111206,0.1111935,-0.1489929,0.4874571,-0.198359
1.557559,-0.07500149,0.3192425,-0.01800017,-0.04777258,0.3136182,0.0376667,-0.03659259,0.3096661,0.06537365,-0.02849948,0.311267,0.0833573,-0.08663327,0.3113783,0.1111837,-0.1488819,0.4877314,-0.198347
1.579324,-0.07501332,0.3194235,-0.01803247,-0.04779849,0.3137501,0.03763581,-0.0366183,0.3097701,0.06533762,-0.02852387,0.3113587,0.08332541,-0.08672518,0.3115853,0.1111749,-0.1488128,0.4879725,-0.1983514
1.596588,-0.07499848,0.319502,-0.0180722,-0.04779558,0.3138159,0.03760162,-0.03661767,0.3098264,0.06530022,-0.02852347,0.3114087,0.08328977,-0.086814,0.3117568,0.111152,-0.1487951,0.4880625,-0.1983859
1.614064,-0.07498652,0.3195464,-0.01811096,-0.04778616,0.3138622,0.03756676,-0.03660946,0.3098687,0.06526414,-0.02851635,0.311448,0.08325508,-0.08682227,0.3118498,0.1111164,-0.1487824,0.4881172,-0.1984281
1.631086,-0.07497487,0.3195673,-0.01817814,-0.04778016,0.3138791,0.0375041,-0.03660493,0.3098786,0.0651997,-0.02851399,0.311453,0.08319281,-0.08680807,0.3119225,0.1110869,-0.1487641,0.4881575,-0.1984898
1.648735,-0.07497484,0.3196195,-0.01820852,-0.04778061,0.3139189,0.03747553,-0.03660689,0.3099162,0.0651724,-0.028517,0.3114915,0.08316692,-0.08680189,0.3119467,0.111023,-0.1487551,0.4882255,-0.1985243
