time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.06776407,0.3282476,-0.02396481,-0.06776407,0.3282476,-0.02396481,-0.03086966,0.3244882,-0.00204846,-0.01401382,0.3260437,0.01597019,0,0,0,-0.147053,0.4843075,-0.1983916
0.04,-0.06784374,0.3283844,-0.02382275,-0.06784374,0.3283844,-0.02382275,-0.03097957,0.3245259,-0.001904403,-0.01412846,0.325999,0.01610386,-0.08728645,0.3099287,0.1099566,-0.1471643,0.4844918,-0.1982899
1.04,-0.06759859,0.3299248,-0.02580482,-0.06759859,0.3299248,-0.02580482,-0.03055065,0.326109,-0.003419165,-0.0136867,0.3276741,0.01491212,-0.08703611,0.3096583,0.1100649,-0.1490386,0.4865711,-0.2007254
1.242136,-0.06796273,0.3284667,-0.0251259,-0.06796273,0.3284667,-0.0251259,-0.03089561,0.3246486,-0.00269185,-0.01405486,0.3262467,0.01568085,-0.08719836,0.3119447,0.1087791,-0.149631,0.4850493,-0.2000129
1.309274,-0.06826455,0.3284524,-0.02457862,-0.06826455,0.3284524,-0.02457862,-0.03118384,0.3244762,-0.002136993,-0.01434473,0.3260002,0.01624893,-0.08733746,0.3104284,0.1095879,-0.1499573,0.4850699,-0.1994683
1.32839,-0.06828319,0.3286168,-0.02438691,-0.06828319,0.3286168,-0.02438691,-0.03120633,0.3245857,-0.001930834,-0.01436307,0.3260796,0.01646254,-0.08723717,0.3099376,0.1101296,-0.1499817,0.4852333,-0.1992776
1.347267,-0.06826884,0.3287107,-0.02431166,-0.06826884,0.3287107,-0.02431166,-0.03118297,0.3246801,-0.001836695,-0.01433424,0.326174,0.01656206,-0.08721282,0.3098665,0.1103216,-0.1499684,0.4852966,-0.1992083
1.364368,-0.06821436,0.3288464,-0.02418433,-0.06821436,0.3288464,-0.02418433,-0.03112548,0.3248247,-0.001703224,-0.01427929,0.3263249,0.01669931,-0.08714705,0.3098915,0.110395,-0.1499222,0.4854267,-0.1990895
1.379537,-0.06814571,0.3289421,-0.02409471,-0.06814571,0.3289421,-0.02409471,-0.0310501,0.3249419,-0.001607112,-0.0142048,0.3264588,0.01680324,-0.08704266,0.309949,0.1105281,-0.1498587,0.4855224,-0.1990105
1.396712,-0.06805503,0.3290577,-0.02396628,-0.06805503,0.3290577,-0.02396628,-0.03095149,0.325072,-0.001478397,-0.01410627,0.3265987,0.01693611,-0.08696426,0.3100057,0.1106195,-0.1497754,0.4856446,-0.1988937
