time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.08194519,0.3167883,-0.01335516,-0.06354895,0.3137084,0.04225598,-0.05806625,0.3054913,0.07423602,-0.05253114,0.3049191,0.09673018,0,0,0,-0.147053,0.4843075,-0.1983916
0.04,-0.0820203,0.3169044,-0.01321745,-0.0635681,0.3137672,0.04239437,-0.05799569,0.3056611,0.07438836,-0.05244725,0.305125,0.09686062,-0.08728645,0.3099287,0.1099566,-0.1471643,0.4844918,-0.1982899
1.04,-0.08192614,0.3185209,-0.0151052,-0.06349752,0.3156568,0.04080483,-0.05804705,0.3075369,0.07300045,-0.05248724,0.3070508,0.09566405,-0.08703611,0.3096583,0.1100649,-0.1490386,0.4865711,-0.2007254
1.242136,-0.08226392,0.3170408,-0.01437658,-0.06375705,0.3143711,0.04152994,-0.05815344,0.306535,0.07378443,-0.05257077,0.3062329,0.09642639,-0.08719836,0.3119447,0.1087791,-0.149631,0.4850493,-0.2000129
1.309274,-0.08253993,0.3169887,-0.01383556,-0.06393908,0.3142023,0.04205007,-0.05822604,0.3064069,0.07431679,-0.05258566,0.3061278,0.09694915,-0.08733746,0.3104284,0.1095879,-0.1499573,0.4850699,-0.1994683
1.32839,-0.08254471,0.3171304,-0.01364731,-0.06392357,0.3143019,0.04223403,-0.0581904,0.3064571,0.07449622,-0.05254324,0.306115,0.09712965,-0.08723717,0.3099376,0.1101296,-0.1499817,0.4852333,-0.1992776
1.347267,-0.08250195,0.3171956,-0.01357504,-0.0638537,0.3143605,0.04230183,-0.05811048,0.306443,0.07454463,-0.05247081,0.3060027,0.09717597,-0.08721282,0.3098665,0.1103216,-0.1499684,0.4852966,-0.1992083
1.364368,-0.08243006,0.3173124,-0.01345016,-0.06375907,0.3144687,0.04242403,-0.05800144,0.3065211,0.0746578,-0.05235148,0.3060732,0.09728801,-0.08714705,0.3098915,0.110395,-0.1499222,0.4854267,-0.1990895
1.379537,-0.08235378,0.3173974,-0.0133645,-0.06367566,0.3145469,0.04251095,-0.05791257,0.3065836,0.07473928,-0.05225483,0.3061413,0.09736812,-0.08704266,0.309949,0.1105281,-0.1498587,0.4855224,-0.1990105
1.396712,-0.08225742,0.3175009,-0.01324146,-0.0635716,0.3146294,0.0426352,-0.05780786,0.3066544,0.07486104,-0.05214857,0.3062194,0.09748971,-0.08696426,0.3100057,0.1106195,-0.1497754,0.4856446,-0.1988937
1.411956,-0.08214953,0.317559,-0.01318042,-0.06347485,0.3146763,0.04270216,-0.05770937,0.3066878,0.07492971,-0.0520469,0.306253,0.09756596,-0.086849,0.3100712,0.1107444,-0.1496723,0.4857197,-0.1988288
1.427783,-0.08198136,0.3176192,-0.01311094,-0.06332556,0.3146957,0.0427784,-0.05756211,0.3066773,0.07500157,-0.05189896,0.3062219,0.09763879,-0.08677893,0.3101017,0.1108231,-0.1495082,0.485794,-0.1987547
1.443066,-0.08184748,0.3177516,-0.01303443,-0.06320396,0.3147679,0.04285996,-0.0574614,0.3066929,0.0750768,-0.05180874,0.3061785,0.09771299,-0.08662804,0.3099992,0.1108861,-0.1493599,0.4859589,-0.1986798
