time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.09754787,0.3300998,-0.009857309,-0.09621228,0.3294144,0.03886928,-0.1009957,0.3246928,0.06174066,-0.1025613,0.3229052,0.07959905,-0.08728645,0.3099287,0.1099566,-0.147053,0.4843075,-0.1983916
0.04,-0.09761868,0.3301981,-0.009680277,-0.0962405,0.3294552,0.03906196,-0.1008828,0.324685,0.0619577,-0.1023397,0.3228621,0.07984155,-0.08703611,0.3096583,0.1100649,-0.1471643,0.4844918,-0.1982899
1.04,-0.09753432,0.3319528,-0.01162772,-0.09623452,0.3315174,0.03733776,-0.1010948,0.326817,0.06031329,-0.1027064,0.325006,0.07821801,-0.08719836,0.3119447,0.1087791,-0.1490386,0.4865711,-0.2007254
1.242136,-0.09790371,0.3304269,-0.01089602,-0.09654537,0.3301117,0.03807881,-0.1011781,0.3254413,0.06117083,-0.1026416,0.3236609,0.07915375,-0.08733746,0.3104284,0.1095879,-0.149631,0.4850493,-0.2000129
1.309274,-0.09818318,0.3303594,-0.01030041,-0.09674773,0.3299322,0.03868398,-0.1012991,0.3251553,0.06179563,-0.1027179,0.3232862,0.07981505,-0.08723717,0.3099376,0.1101296,-0.1499573,0.4850699,-0.1994683
1.32839,-0.09819316,0.330489,-0.01010058,-0.0967423,0.3300155,0.03888656,-0.1012811,0.3252093,0.06200522,-0.1026931,0.3233197,0.0800393,-0.08721282,0.3098665,0.1103216,-0.1499817,0.4852333,-0.1992776
1.347267,-0.09816874,0.3305247,-0.01002305,-0.09669834,0.3300225,0.03896707,-0.1012299,0.3251855,0.06207924,-0.1026389,0.3232744,0.08011714,-0.08714705,0.3098915,0.110395,-0.1499684,0.4852966,-0.1992083
1.364368,-0.09810811,0.3306253,-0.009890675,-0.09662098,0.3301015,0.03910293,-0.1011399,0.3252439,0.06221438,-0.1025396,0.3233185,0.08025716,-0.08704266,0.309949,0.1105281,-0.1499222,0.4854267,-0.1990895
1.379537,-0.09803822,0.3307025,-0.009802567,-0.09654679,0.3301653,0.0391939,-0.1010597,0.3253024,0.06230322,-0.1024528,0.3233765,0.08034722,-0.08696426,0.3100057,0.1106195,-0.1498587,0.4855224,-0.1990105
1.396712,-0.09794625,0.3307998,-0.009673625,-0.09644997,0.3302386,0.03932627,-0.1009592,0.3253649,0.06243265,-0.1023505,0.3234313,0.08047526,-0.086849,0.3100712,0.1107444,-0.1497754,0.4856446,-0.1988937
1.411956,-0.09784942,0.3308475,-0.009612831,-0.09636474,0.3302676,0.03938938,-0.1008767,0.3253683,0.06249316,-0.1022675,0.3234169,0.08053606,-0.08677893,0.3101017,0.1108231,-0.1496723,0.4857197,-0.1988288
1.427783,-0.09769034,0.3309006,-0.009538768,-0.09622365,0.3302788,0.0394655,-0.1007579,0.3253689,0.06255673,-0.1021635,0.3234211,0.08058869,-0.08662804,0.3099992,0.1108861,-0.1495082,0.485794,-0.1987547
1.443066,-0.09754672,0.3310471,-0.009458461,-0.09608942,0.3303906,0.0395489,-0.1006634,0.3254851,0.06262671,-0.1021086,0.3235463,0.08064581,-0.08649947,0.3100373,0.1109567,-0.1493599,0.4859589,-0.1986798
1.459586,-0.09743302,0.3312139,-0.009366452,-0.09598228,0.3305171,0.03964394,-0.1006132,0.3256193,0.06270648,-0.1021116,0.3236896,0.0807112,-0.08643151,0.3101394,0.1110463,-0.1492435,0.4861442,-0.1985945
1.47497,-0.09735648,0.3314184,-0.009301507,-0.09591016,0.3306821,0.03971046,-0.1005922,0.3257849,0.06275531,-0.1021298,0.3238558,0.08074476,-0.08641322,0.3102821,0.1110997,-0.1491626,0.4863603,-0.198531
1.492385,-0.0972946,0.3317219,-0.009218686,-0.09586228,0.3309343,0.03979433,-0.1005993,0.326059,0.06281371,-0.1021734,0.3241506,0.0807798,-0.08644573,0.3105361,0.1111683,-0.1490926,0.4866653,-0.1984448
