time,meta_x,meta_y,meta_z,prox_x,prox_y,prox_z,intr_x,intr_y,intr_z,dist_x,dist_y,dist_z,tips_x,tips_y,tips_z,elbow_x,elbow_y,elbow_z
0.02,-0.08728645,0.3099287,0.1099566,-0.08178221,-0.08728645,0.3099287,-0.08605411,0.3119239,-0.08728645,-0.08737287,0.3097426,0.09446235,-0.08728645,0.3099287,0.1099566,-0.147053,0.4843075,-0.1983916
0.04,-0.08703611,0.3096583,0.1100649,-0.08180389,-0.08703611,0.3096583,-0.08592739,0.3118591,-0.08703611,-0.08717056,0.3095777,0.09460188,-0.08703611,0.3096583,0.1100649,-0.1471643,0.4844918,-0.1982899
1.04,-0.08719836,0.3119447,0.1087791,-0.08178198,-0.08719836,0.3119447,-0.08604771,0.3139481,-0.08719836,-0.08730712,0.3117559,0.09320667,-0.08719836,0.3119447,0.1087791,-0.1490386,0.4865711,-0.2007254
1.242136,-0.08733746,0.3104284,0.1095879,-0.08206077,-0.08733746,0.3104284,-0.08620174,0.3125872,-0.08733746,-0.08743651,0.3103325,0.09397735,-0.08733746,0.3104284,0.1095879,-0.149631,0.4850493,-0.2000129
1.309274,-0.08723717,0.3099376,0.1101296,-0.08224805,-0.08723717,0.3099376,-0.08622879,0.3122694,-0.08723717,-0.08739132,0.3099256,0.09452293,-0.08723717,0.3099376,0.1101296,-0.1499573,0.4850699,-0.1994683
1.32839,-0.08721282,0.3098665,0.1103216,-0.08223616,-0.08721282,0.3098665,-0.08618643,0.3123003,-0.08721282,-0.0873527,0.3099092,0.09471299,-0.08721282,0.3098665,0.1103216,-0.1499817,0.4852333,-0.1992776
1.347267,-0.08714705,0.3098915,0.110395,-0.08217838,-0.08714705,0.3098915,-0.08611172,0.3123199,-0.08714705,-0.08727977,0.3099284,0.09478845,-0.08714705,0.3098915,0.110395,-0.1499684,0.4852966,-0.1992083
1.364368,-0.08704266,0.309949,0.1105281,-0.08209102,-0.08704266,0.309949,-0.08600859,0.3123905,-0.08704266,-0.08717398,0.3099899,0.09492261,-0.08704266,0.309949,0.1105281,-0.1499222,0.4854267,-0.1990895
1.379537,-0.08696426,0.3100057,0.1106195,-0.08201122,-0.08696426,0.3100057,-0.08592878,0.3124488,-0.08696426,-0.08709491,0.3100449,0.09501561,-0.08696426,0.3100057,0.1106195,-0.1498587,0.4855224,-0.1990105
1.396712,-0.086849,0.3100712,0.1107444,-0.08190976,-0.086849,0.3100712,-0.08582089,0.3125153,-0.086849,-0.08698258,0.3101094,0.09514514,-0.086849,0.3100712,0.1107444,-0.1497754,0.4856446,-0.1988937
1.411956,-0.08677893,0.3101017,0.1108231,-0.08181784,-0.08677893,0.3101017,-0.08574078,0.3125422,-0.08677893,-0.086908,0.3101355,0.09522211,-0.08677893,0.3101017,0.1108231,-0.1496723,0.4857197,-0.1988288
1.427783,-0.08662804,0.3099992,0.1108861,-0.08167288,-0.08662804,0.3099992,-0.08559603,0.3125048,-0.08662804,-0.08675887,0.3100619,0.09528747,-0.08662804,0.3099992,0.1108861,-0.1495082,0.485794,-0.1987547
1.443066,-0.08649947,0.3100373,0.1109567,-0.08154599,-0.08649947,0.3100373,-0.08547192,0.3125786,-0.08649947,-0.08663265,0.3101174,0.09535966,-0.08649947,0.3100373,0.1109567,-0.1493599,0.4859589,-0.1986798
1.459586,-0.08643151,0.3101394,0.1110463,-0.08144918,-0.08643151,0.3101394,-0.08539537,0.3126841,-0.08643151,-0.08656497,0.3102216,0.09544731,-0.08643151,0.3101394,0.1110463,-0.1492435,0.4861442,-0.1985945
1.47497,-0.08641322,0.3102821,0.1110997,-0.08138837,-0.08641322,0.3102821,-0.08536262,0.3128256,-0.08641322,-0.08654305,0.3103641,0.09550014,-0.08641322,0.3102821,0.1110997,-0.1491626,0.4863603,-0.198531
1.492385,-0.08644573,0.3105361,0.1111683,-0.0813549,-0.08644573,0.3105361,-0.08536704,0.3130642,-0.08644573,-0.08656617,0.3106123,0.09556947,-0.08644573,0.3105361,0.1111683,-0.1490926,0.4866653,-0.1984448
1.510999,-0.08652052,0.3108158,0.1112075,-0.08131769,-0.08652052,0.3108158,-0.08538792,0.3133127,-0.08652052,-0.08662039,0.3108767,0.09561402,-0.08652052,0.3108158,0.1112075,-0.1490422,0.4869628,-0.1983786
1.525862,-0.08658158,0.3111206,0.1111935,-0.08130655,-0.08658158,0.3111206,-0.08542147,0.3135495,-0.08658158,-0.08667376,0.311146,0.0956067,-0.08658158,0.3111206,0.1111935,-0.1490138,0.4872075,-0.198368
1.539747,-0.08663327,0.3113783,0.1111837,-0.08131849,-0.08663327,0.3113783,-0.08545882,0.3137772,-0.08663327,-0.08672127,0.3113893,0.09560131,-0.08663327,0.3113783,0.1111837,-0.1489929,0.4874571,-0.198359
1.557559,-0.08672518,0.3115853,0.1111749,-0.08134592,-0.08672518,0.3115853,-0.08552281,0.31397,-0.08672518,-0.08680353,0.3115886,0.09559298,-0.08672518,0.3115853,0.1111749,-0.1488819,0.4877314,-0.198347
1.579324,-0.086814,0.3117568,0.111152,-0.08136766,-0.086814,0.3117568,-0.08558988,0.3141215,-0.086814,-0.08688571,0.3117495,0.09556349,-0.086814,0.3117568,0.111152,-0.1488128,0.4879725,-0.1983514
1.596588,-0.08682227,0.3118498,0.1111164,-0.08136515,-0.08682227,0.3118498,-0.08560224,0.3141899,-0.08682227,-0.086897,0.3118281,0.09552737,-0.08682227,0.3118498,0.1111164,-0.1487951,0.4880625,-0.1983859
1.614064,-0.08680807,0.3119225,0.1110869,-0.08135593,-0.08680807,0.3119225,-0.0855955,0.3142362,-0.08680807,-0.08688664,0.3118851,0.09549633,-0.08680807,0.3119225,0.1110869,-0.1487824,0.4881172,-0.1984281
1.631086,-0.08680189,0.3119467,0.111023,-0.08135245,-0.08680189,0.3119467,-0.08559623,0.3142455,-0.08680189,-0.08688425,0.3119009,0.09543253,-0.08680189,0.3119467,0.111023,-0.1487641,0.4881575,-0.1984898
1.648735,-0.08679764,0.3119938,0.1109965,-0.08135125,-0.08679764,0.3119938,-0.08559663,0.3142849,-0.08679764,-0.0868826,0.3119437,0.09540548,-0.08679764,0.3119938,0.1109965,-0.1487551,0.4882255,-0.1985243
1.667914,-0.08677144,0.3120634,0.1109888,-0.08133773,-0.08677144,0.3120634,-0.08558173,0.3143218,-0.08677144,-0.08686285,0.3119946,0.09539786,-0.08677144,0.3120634,0.1109888,-0.1487125,0.4882591,-0.1985544
1.685861,-0.08676179,0.3121513,0.1109626,-0.08133717,-0.08676179,0.3121513,-0.08558001,0.3143577,-0.08676179,-0.08685746,0.3120561,0.09537389,-0.08676179,0.3121513,0.1109626,-0.1487251,0.4882624,-0.1985916
1.704937,-0.08677386,0.3121882,0.1109384,-0.08133768,-0.08677386,0.3121882,-0.0855936,0.3143448,-0.08677386,-0.08687154,0.312068,0.09534921,-0.08677386,0.3121882,0.1109384,-0.1487314,0.4882208,-0.1986432
1.725881,-0.08676048,0.3122361,0.1109116,-0.08132265,-0.08676048,0.3122361,-0.08558649,0.3143247,-0.08676048,-0.08686271,0.3120826,0.09531987,-0.08676048,0.3122361,0.1109116,-0.1487122,0.4881565,-0.1987082
1.745762,-0.08675212,0.3122372,0.1108917,-0.08130202,-0.08675212,0.3122372,-0.08557377,0.3143035,-0.08675212,-0.08685307,0.3120742,0.09529718,-0.08675212,0.3122372,0.1108917,-0.1486851,0.4880968,-0.1987578
1.762385,-0.08677298,0.3122703,0.1108788,-0.08132383,-0.08677298,0.3122703,-0.08560047,0.3142947,-0.08677298,-0.08687755,0.3120872,0.09528457,-0.08677298,0.3122703,0.1108788,-0.1487007,0.4880481,-0.1987869
1.779796,-0.08680465,0.3122743,0.1108625,-0.08135539,-0.08680465,0.3122743,-0.08563266,0.31429,-0.08680465,-0.08690964,0.3120886,0.09526908,-0.08680465,0.3122743,0.1108625,-0.1487301,0.4880201,-0.1988137
1.797382,-0.08685914,0.312269,0.110856,-0.08140329,-0.08685914,0.312269,-0.08568292,0.3142924,-0.08685914,-0.08696218,0.3120879,0.09526211,-0.08685914,0.312269,0.110856,-0.148775,0.4880106,-0.198832
1.814507,-0.08691292,0.3122749,0.1108552,-0.08144338,-0.08691292,0.3122749,-0.08572875,0.3143029,-0.08691292,-0.08701211,0.3120963,0.09526037,-0.08691292,0.3122749,0.1108552,-0.1488141,0.4880135,-0.1988457
1.83266,-0.08697179,0.3122814,0.1108633,-0.0814807,-0.08697179,0.3122814,-0.085775,0.3143133,-0.08697179,-0.08706468,0.3121046,0.09526785,-0.08697179,0.3122814,0.1108633,-0.1488511,0.4880167,-0.1988486
